session type,session title,sub unit,chair name,chair aff
Paper Session,Visual Framing and Storytelling Between the Affective and the Iconic,Visual Communication Studies,,
Paper Session,Responding to Exclusion and Inequality,Theme Sessions,,
Paper Session,"Different Types of Media Content, Different Effects?",Political Communication,,
Paper Session,Adolescents and Media: Working Toward Adulthood,Children Adolescents and the Media,Adolescents’ Social Reading: Motivation; Applying the Theory of Planned Behavior to Adolescents’ Acceptance of Online Friendship Requests Sent by Online Strangers - Wannes Heirman; Beyond the Lab: Investigating Early Adolescents’ Cognitive; Exploring the Associations Across Adolescence of Perceived Desirability for Alcohol Advertising and Skepticism About Advertising - Erica Weintraub Austin; MTV Reality Shows and Adolescents’ Intentions Towards Smoking and Alcohol Use: BIS/BAS and Social Norms - Jolien Vangeel; Social Network Site Uses; Stop or Go? Playing Violent Computer Games Impairs Self Control in Adolescents - Ewa Miedzobrodzka; The Role of Communication and Rumors in Adolescents' Perceptions and Behaviors Regarding Sociopolitical Issues: A Heuristic-Systematic Model - Jae Seon Jeong; This is Advertising! Effects of Disclosing Television Brand Placement on Adolescents - Eva van Reijmersdal,Behavior and Their Relationship - WU LI; U of Antwerp - Department of Communication Studies; Anne Vermeulen; Emotional; Washington State U; Adrienne Fayola Muldrow; U of Leuven - School for Mass Communication Research; Nancy Rhodes; Friendship Networks; Vrije Universiteit Amsterdam; Fredrick Waiyaki; Hallym University; Seungyoon Lee; U of Amsterdam; Sophie Carolien Boerman
Paper Session,CAT Hybrid Session 5: Global Perspectives on Technology,Communication and Technology,,
Paper Session,Not So Easy: Problematic Aspects of Digital Games,Game Studies,,
Paper Session,Health Risk Perception and Behaviors,Health Communication,,
Paper Session,Digital Exclusion and Inequality,Communication and Technology,,
Paper Session,LGBTQ Health Communication,Health Communication,,
Paper Session,Online Health Information and Behavioral Intentions,Communication and Technology,,
Paper Session,Competitive Papers in Global Media and Culture,Global Communication and Social Change,,
Paper Session,The Study of Emotion in Relation to News,Mass Communication,,
Paper Session,News and the Active Audience,Mass Communication,,
Paper Session,Public Opinion Research in the Digital Era,Political Communication,,
Paper Session,Global Film: Culture and Conflict,Popular Communication,,
Paper Session,Communicating Organizations: Strategic and Constitutive Communication,Organizational Communication,,
Paper Session,Emotions and Beliefs: The Power of Internal Forces in the Classroom,Instructional & Developmental Communication,,
Paper Session,"Communicative Practices to Construct Reasonableness Standards, Responsibilization, Common Ground, and Relationship Bond",Language & Social Interaction,,
Paper Session,"Media, Marketing, and Children's Health",Children Adolescents and the Media,How Candy Placements in Films Influence Children`s Selection Behavior in Real-Life Shopping Scenarios - Maren Beaufort; Using New Media Technologies to Improve Eating and Exercise Behaviors via a Health Intervention Program - Kimberly Bissell; Mobile Marketing to Children: A Content Analysis of Food and Beverage Company Apps - Lisa B. Hurwitz; Heavy Childhood TV Use Persists Into Adulthood and is Associated With Increased BMI - Chance York,Austrian Academy of Sciences - Institute for Comparative Media and Communication Studies; U of Alabama; Xueying Zhang; Northwestern University; Eric Morales; Kent State University
Paper Session,B.E.S.T.: Social and Collaborative Technologies in Organizational Communication,Organizational Communication,,
Paper Session,CAM Research Escalator Session 1,Children Adolescents and the Media,Mapping the Invisible and Exploring Connections Between Young People; Effects From Smoking-Related Media Messages on Chinese Adolescent Smoking: Testing the Mediating Role of Perceived Descriptive Peer Norm - Chun Zhou; The Power of Social Media Influencers: A Study of the Use of Influencers by Brands to Communicate With Adolescent Consumers - Amy Jo Struthers; Mobile Phone Use and the Changing Values of the Young Igorot - Dazzelyn Baltazar Zapata; Presenting Ourselves Into Being: Exploring Social Media Use and Self-Concept Change for Adolescents - Sarah Rose Marcus; Understanding the Web Use Behavior of Our Youngest Internet Audience - Fashina Alade; Tethered Toddler,Technology; University of Miami; U of Nebraska–Lincoln; National U of Singapore; Rutgers; Northwestern University; Distracted Toddler? Linking Preschoolers’ Attention-Deficiency to Task-Switching and Extraneous Problem-Solving When using tablets - Stephanie Van Hove
Paper Session,Theorizing Journalism,Journalism Studies,,
Paper Session,Advertising and Privacy,Communication and Technology,,
Paper Session,"Sexual Health Communication: Consent, Pledges, Safe Sex, Contraceptives",Health Communication,,
Paper Session,News and Social Media,Communication and Technology,,
Paper Session,Journalism as Practice: Values and Perceptions,Journalism Studies,,
Paper Session,Methodological Advances in Mass Communication Research,Mass Communication,,
Paper Session,"Politicized Communication: Movements, Ideology, and Modernity",Communication History,,
Paper Session,Textual Analyses in Mass Communication Research,Mass Communication,,
Paper Session,"Citizenship, Community, and Civic Engagement",Political Communication,,
Paper Session,Top Papers in Intercultural Communication,Intercultural Communication,,
Paper Session,Forms of Power: Public Diplomacy and Government Relations,Public Relations,,
Paper Session,Industry Change and Accommodation,Media Industry Studies,,
Paper Session,Governing Free Speech and Information in the 21st Century,Communication Law & Policy,,
Paper Session,Race and Ethnicity Across Learning Environments,Ethnicity and Race in Communication,,
Paper Session,Information and Perceptions of Out Groups: Between Empathy and Conflict,Political Communication,,
Paper Session,Mediated Close Relationships: Interpersonal Communication Online,Interpersonal Communication,,
Paper Session,Best Papers in Information Systems Division,Information Systems,,
Paper Session,"CAT Hybrid Session 1: ICTs, Divides, and Privacy",Communication and Technology,,
Paper Session,CAM Research Escalator Session 2,Children Adolescents and the Media,(Il)legal File Sharing; Could Interpersonal Communication be the Missing Link in Elimination Mother-to-Child Transmission of HIV ?: The Impact of the Mentor Mother Programme in Homa Bay Kenya on Pregnant Women Living With HIV - Evonne Mwangale Kiptinness; Crazy Cyber World: Construction of a Composite Index for Measuring Child Online Protection (COPI) - Ada Sonia Peter; Leave Them Kids Alone: Children-Related Images Management and Adult Power in Web-Based Communicative Practices - diana salzano; Media Education: Core; Parent Engagement and New Media Communication Technologies in the Los Angeles Unified School District (LAUSD) - Brandon Golob; Power of Media: Exploring the Indirect Effects of Media on Genetic Testing Among Hispanic/Latino Children - Jessica E Wendorf; The Internet as a Sex Education Resource for Lebanese Adolescents: Its Impact on Attitude and Intended Sexual Behaviors - Danijela Savaya,Downloading; Daystar University; Covenant University; Tolulope kayode-adedeji; U of Salerno; antonella napoli; Boundaries; U of Southern California - Annenberg School for Communication; University of Miami; Fan Yang; Notre Dame University; Jessica El-Khoury
Paper Session,Top Papers in Health Communication,Health Communication,,
Paper Session,"Social Media, Discussion, Deliberation, and Public Opinion",Communication and Technology,,
Paper Session,Ethnicity & Race Across Eurasia,Ethnicity and Race in Communication,,
Paper Session,"Media Technology Industries: Online Journalism, On-Demand, and Streaming Services",Communication and Technology,,
Paper Session,"Language Use in Small Claims Court, Public Meetings, Consultations for Over-the-Counter Medicines, and Health Information Consumers' Online Comments",Language & Social Interaction,,
Paper Session,Social Media and Cultural Adaptation,Intercultural Communication,,
Paper Session,Top Papers in Global Communication and Social Change,Global Communication and Social Change,,
Paper Session,Advancing Theory Building in Mass Communication Research,Mass Communication,,
Paper Session,"Selective Visuals: Politics, Metaphors, Narratives",Visual Communication Studies,,
Paper Session,Instructional and Developmental Top Paper Panel,Instructional & Developmental Communication,,
Paper Session,Strategies and Tactics in Popular Politics,Popular Communication,,
Paper Session,Communicating With Power: Stakeholders and Corporations,Public Relations,,
Paper Session,Top Papers in Organizational Communication,Organizational Communication,,
Paper Session,"Extended Session: LGBTQ Europe, US, and Networks","Lesbian, Gay, Bisexual, Transgender and Queer Studies",,
Paper Session,For the Greater Good: New Approaches in Serious Games,Game Studies,,
Paper Session,"Parenting, Family Communication, and Child Outcomes",Interpersonal Communication,,
Paper Session,"Journalistic Roles: Perception, Performance, Identity",Journalism Studies,,
Paper Session,Using Big Data to Examine Science Communication and Research Communties,Communication and Technology,,
Paper Session,Communication Infrastructure and the Social Shaping of Technology,Communication and Technology,,
Paper Session,Smartphones (High-Density),Mobile Communication,,
Paper Session,Top Student Papers in Public Relations,Public Relations,,
Paper Session,"Ideas, Power, and Accountability in Media Policy",Communication Law & Policy,,
Paper Session,CAT Hybrid Session 2: Virtual Experiences and Interaction,Communication and Technology,,
Paper Session,Online Comments and the News,Journalism Studies,,
Paper Session,Health Communication Advertising and Advertisements,Health Communication,,
Paper Session,Selfies and Self-Presentation Online,Communication and Technology,,
Paper Session,"College Health Promotion: Drinking, Substance Abuse, Sexual Assault",Health Communication,,
Paper Session,Self-Disclosure and Privacy in Social Media,Communication and Technology,,
Paper Session,Covering Science and Health,Journalism Studies,,
Paper Session,Cultural Influence on Advertising and Corporate Communication,Intercultural Communication,,
Paper Session,What Generates News Content? (TOP STUDENT PAPER),Mass Communication,,
Paper Session,Protecting Water and Air: Examining Communication and Decision-Making Practices,Environmental Communication,,
Paper Session,Communication in Online Relationships: Is the Medium the Relationship?,Interpersonal Communication,,
Paper Session,Understanding Online Political Participation,Political Communication,,
Paper Session,"Contexts, Processes, and Outcomes of Outgroup Attitudes and Intergroup Contact",Intergroup Communication,,
Paper Session,The Visual Communication of Identities and Values Across Cultures,Visual Communication Studies,Communicating Eternal Love and Confucian Values via Visual and Cultural Images of Korean Historical Television Dramas - Carolyn A. Lin; Complicating Visual Identities Post 9/11: Muslim Female YouTubers Speak Back - Diane Watt; Looking Through Outdoor Advertising Images for Beauty in Argentina; Utopia,U of Connecticut; SUJI PARK; University of Ottawa; Chile; Nostalgia
Paper Session,Media & Democracy: Press Freedom and Censorship,Political Communication,,
Paper Session,Antismoking/Antidrinking: High Density Panel in Health Communication,Health Communication,,
Paper Session,Work-Life Balance and Flexible Work,Organizational Communication,,
Paper Session,"Robots, Machines, and Algorithms: Perspectives on Automated Journalism",Journalism Studies,,
Paper Session,"Culture and Social Interaction: Language, Identity, Community, and Intercultural Communication",Language & Social Interaction,,
Paper Session,Communication and Technology Division Top Student Papers,Communication and Technology,,
Paper Session,The Power of Technology for Learning,Instructional & Developmental Communication,,
Paper Session,"Social Media, Political Mobilization, and Participation",Communication and Technology,,
Paper Session,Mass Communication Research at the Systems Level (TOP STUDENT PAPER),Mass Communication,,
Paper Session,Media Industry Studies Business Meeting,Media Industry Studies,,
Paper Session,"News Exposure and Effects: Knowledge, Interest, and Behavior",Political Communication,,
Paper Session,"Music, Sound, and Popular Culture",Popular Communication,,
Paper Session,"Perception, Cognition, and Experience in Visual Communication Research",Visual Communication Studies,,
Paper Session,Online Social Capital,Communication and Technology,,
Paper Session,Top Papers in Sports Communication,Sports Communication,,
Paper Session,Political News in Comparative Perspective,Political Communication,,
Paper Session,Extended Session: Parental Mediation,Children Adolescents and the Media,A Matter of Style? The Differential Effects of Parental Mediation on Early Adolescents’ Media Violence Exposure and Aggression - Karin Fikkers; Children’s Attitudinal and Behavioral Reactions to Product Placements: Do Parental Mediations and Family Conversations Matter? - Brigitte Naderer; Game On: Refining the Parental Mediation Framework for a Video-Gaming Landscape - Hee Jhee Jiow; Reversed Parental Television Mediation: Children’s Guidance of Their Parents’ Television Use and Parent-Child Television Conflict. - Sara Nelissen; The Role of Parents on Children's Media Use: A Meta-Analysis of Parental Mediation - Liang Chen; Using Moral Foundations Theory and Parent Mediation to Understand the Effect of Child Exposure to Televised Moral Lessons on Transfer to Moral Situations - Drew Cingel; Guiding Young Children’s Digital Media Use: Concerns and Competences Among Parents From Different Socioeconomic Backgrounds - Peter Nikken; Parents and TV as Socializers of 6- to 19-Year-Olds' Expressions of Emotion: Representative Data From Germany - Sebastian Scherr; Rules; Social Networking Sites and Materialism: Safeguarding Roles of Parents and Personal Traits - Hillbun Ho,ASCoR; U of Vienna; Franziska Marquart; Singapore Institute of Technology; Sun Sun Lim; U of Leuven - School for Mass Communication Research; Jan Van den Bulck; Nanyang Technological University; University of California -- Davis; Marina Krcmar; Megan K. Olsen; Netherlands Youth Institute/Erasmus University Rotterdam; LMU Munich; Marie-Louise Mares; Role Model; Nanyang Technological University; Wonsun Shin
Paper Session,On the Technical Side of Digital Games,Game Studies,,
Paper Session,B.E.S.T.: Social Responsibility and Ethics in Communication Practice and Research,Organizational Communication,,
Paper Session,The Power of CSR in Times of Crisis,Public Relations,,
Paper Session,Disrupting Journalism: Challenging Key Concepts in Journalism Studies,Journalism Studies,,
Paper Session,Social Network Studies in Health Communication,Health Communication,,
Paper Session,Emotion and Information Processing,Communication and Technology,,
Paper Session,"Cross-Cultural studies on Family, Marriage, and Romantic Relationships",Intercultural Communication,,
Paper Session,"Communicating Nature, Sustainability, and Environmental Issues Using Online Media Channels",Environmental Communication,,
Paper Session,"Media, Sex, and Porn (TOP FACULTY PAPER)",Mass Communication,,
Paper Session,Messaging Apps and Mobile Social Media (High-Density),Mobile Communication,,
Paper Session,Political Discussion and Deliberation: Theoretical and Methodological Issues,Political Communication,,
Paper Session,Interpersonal Communication and Health,Interpersonal Communication,,
Paper Session,Top Student Papers in ERIC,Ethnicity and Race in Communication,,
Paper Session,"Perceptions and Effects of Messages: Group-Based Identity in Media, Mediated, and Health Communication",Intergroup Communication,,
Paper Session,Election Debates: Exposure and Effects,Political Communication,,
Paper Session,Negative Effects of Social Media,Communication and Technology,,
Paper Session,Experimental Message Design in Health,Health Communication,,
Paper Session,Smartphone Studies,Communication and Technology,,
Paper Session,"Intergroup Contact, Communication Apprehension, and Cultural Adjustment",Intercultural Communication,,
Paper Session,Public Opinion of Environmental Issues and Controversial Science,Environmental Communication,,
Paper Session,Audience Engagement With News (TOP FACULTY PAPER AWARDEE),Mass Communication,,
Paper Session,Social Media and Technology as New Playgrounds: Hashtags and Beyond,Feminist Scholarship,If “Diversity” is the Answer; “You Can Start a Movement With a Hashtag”: An Exploration of Student-Led Social Media Activism - Candace P Parrish; DIY Feminism: Making the Personal Political - A Work-in-Progress - Rosemary Clark; Feminist Uses of Social Media - Stine Eckert; (Still) Making the Personal Political: #YesAllWomen,What is the Question? Understanding Diversity Advocacy in Amateur Technology Projects - Christina Dunbar-Hester; Virginia Commonwealth University; Rowena Lyn Briones; The Annenberg School for Communication at the University of Pennsylvania; Wayne State University; Linda C. Steiner; Digital Feminism
Paper Session,"Extended Session: Let Me Entertain You! Digital Games, Driving Forces, and Experience",Game Studies,,
Paper Session,News Approaches to Election Campaigns and Voting Behavior,Political Communication,,
Paper Session,The Power of Crisis Management: Understanding the Role of Public Relations,Public Relations,,
Paper Session,Current Approaches to Photography's Changing Ontologies,Visual Communication Studies,,
Paper Session,Consuming Media,Media Industry Studies,,
Paper Session,Revisiting the Controversies: Histories of Communication Study,Communication History,,
Paper Session,Journalism and Social Media,Journalism Studies,Journalistic Branding on Twitter: An Exploratory Study of Australian Journalists - Folker Christian Hanusch; When Citizens and Journalists Interact on Twitter Effects Over Journalists’ Performance Expectations and Media-Bias Perceptions - Homero Gil de Zuniga; Agenda-Building and Journalists’ Use of Political Tweets: From Information Subsidies to Perceived Influences - Julia Metag; The Varied Effects of Seeing Journalists on Social Media: An Assessment of Self-Disclosure,Queensland U of Technology; Axel Bruns; University of Vienna; Trevor H Diehl; University of Zurich; Adrian Rauchfleisch; Perceived Objectivity
Paper Session,Antismoking Health Messages,Health Communication,,
Paper Session,"Virtual Reality, Presence, and the Effects of Technology",Communication and Technology,,
Paper Session,Studies of Media Effects and Health,Health Communication,,
Paper Session,Loneliness and Displacement on the Internet,Communication and Technology,,
Paper Session,Media-Related Health Communication Research (TOP FACULTY AND STUDENT PAPER),Mass Communication,,
Paper Session,Political Leaders and the Media,Political Communication,,
Paper Session,mHealth,Mobile Communication,,
Paper Session,Leadership in Organizational Communication,Organizational Communication,,
Paper Session,"Problematic Interactions: Arguments, Advice, and Other Contentious Issues in Interpersonal Relationships",Interpersonal Communication,,
Paper Session,Asian and Asian American Concerns,Ethnicity and Race in Communication,,
Paper Session,Learning and Thinking Through/With/By Media,Children Adolescents and the Media,Epistemological Dimensions on Screen: The Role of Television Presentations in Changing Conceptions About the Nature of Knowledge and Knowing - Lars Guenther; A Parental Perspective on Apps for Young Children - Francette Broekman; Economically Disadvantaged but Academically Focused: The Low-Income Chinese Immigrant Families’ Acculturation; From Hanging Out to Geeking Out: Socializing as a Pathway to Computational Thinking - Samantha Shorey; A Meta-Analytic Review of Ready To Learn Media’s Effects on Young Children’s Literacy - Lisa B. Hurwitz; A Qualitative Study Informing the Educational Content of an Indian TV Program (Galli Galli Sim Sim) - Dina L. G. Borzekowski; Measuring With Murray: Touchscreen Technology and Preschoolers’ STEM Learning - Fashina Alade; Not Feeling it; Literacy and Identity Links Forging Digital Inclusion? Critical Reflections and Signposts From a Qualitative Study - Panayiota Tsatsou,CREST/ Stellenbosch University; Sabrina Heike Kessler; University of Amsterdam; Jessica Taylor Piotrowski; Parental Involvement; University of Washington; Benjamin Mako Hill; Northwestern University; Univ. of Maryland; Northwestern University; Leanne Beaudoin-Ryan; Not Getting it; U of Leicester - Department of Media and Communication; Gillian Youngs
Paper Session,Organizational Communication Research Escalator - Extended Session (Part 1),Organizational Communication,Stacey L. Connaughton; William C. Barley,Purdue U; University of Illinois
Paper Session,"News Audiences: Users, Consumers, Citizens?",Journalism Studies,,
Paper Session,Antismoking Health Messages and News,Health Communication,,
Paper Session,Mental Health and Depression,Health Communication,,
Paper Session,Social Support Online,Communication and Technology,,
Paper Session,Communication Technology and Work,Communication and Technology,,
Paper Session,International/Transnational Journalism,Journalism Studies,,
Paper Session,The Study of Political Entertainment Media,Mass Communication,,
Paper Session,Politicians in the News: With What Effect?,Political Communication,,
Paper Session,Consumption and Identity in East Asia,Popular Communication,,
Paper Session,Exploring the Power of Corporate Social Responsibility,Public Relations,,
Paper Session,Who We Are is How We Talk: Predicting Interpersonal Communication Processes,Interpersonal Communication,,
Paper Session,"Cultural Adaptation, Developmental Communication, and Community",Intercultural Communication,,
Paper Session,Identity Matters in Social Interaction,Language & Social Interaction,,
Paper Session,Collective Action in the Digital Era,Political Communication,,
Paper Session,Self-Presentation and Appearance Issues of Youth in Media,Children Adolescents and the Media,Dysfunctional Appearance Beliefs Among Tweens: The Role of Beauty-is-Good Messages and the Peer Appearance Culture - Jolien Trekels; Preteens’ Reliance on and Internalization of Media Appearance Ideals: Triggers and Consequences - Ann Rousseau; The Role of Heterosexual Expectations in the Relationship Between Early Adolescents’ Media Exposure and the Endorsement of Dysfunctional Appearance Beliefs - Laurens Vangeel; The “Good Girls”: Exploring Features of Female Characters in Children’s Animated Television - Sarah Pila; Hypergender Teens on Social Networking Sites: Investigating Reciprocal Relationships Between Gender Role Orientations and Sexy Online Self-Presentations - Johanna M.F. van Oosten,U of Leuven - School for Mass Communication Research; U of Leuven - School for Mass Communication Research; U of Leuven; Jolien Trekels; Northwestern University; Julie Dobrow; University of Amsterdam; Laura P. Vandenbosch
Paper Session,Organizational Communication Research Escalator - Extended Session (Part 2),Organizational Communication,William C. Barley; Stacey L. Connaughton,University of Illinois; Purdue U
Paper Session,"The Many Faces of ""Commercialization""",Journalism Studies,,
Paper Session,"Vaccine Communication: Childhood, Flu, HPV",Health Communication,,
Paper Session,"Holistic, Complementary, and Alternative Medicine and Therapies",Health Communication,,
Paper Session,New Methods in Communication and Technology,Communication and Technology,,
Paper Session,Technology Use Within the Family and Across the Lifespan,Communication and Technology,,
Paper Session,Reporting on Disaster and Conflict,Journalism Studies,,
Paper Session,Social Movements Around the World,Global Communication and Social Change,,
Paper Session,Network Analysis in Mass Communication Research,Mass Communication,,
Paper Session,Advances in the Study of Film,Mass Communication,,
Paper Session,"Populist Parties, Populist Appeals, and Media Populism",Political Communication,,
Paper Session,"Cultural Influence on Friendship, Intimacy, and Conflict at Work",Intercultural Communication,,
Paper Session,Representing Difference and Deviance,Popular Communication,,
Paper Session,The Power of Social Media,Public Relations,,
Paper Session,"The Role of Language, Narratives, and Framing in Intergroup Relations",Intergroup Communication,,
Paper Session,"Media, Ferguson, and #BlackLivesMatter",Ethnicity and Race in Communication,"Voices of the Marginalized: An Analysis of Social Media Message Frames and Functions in a Ferguson Social Justice Movement - Osita Iroegbu; How #BlackLivesMatter: Exploring the Role of Hip-Hop Celebrities in Constructing Racial Identity on Black Twitter - Summer Harlow; ""Broken Windows"" in the Ferguson Era: Original Theory and Contemporary Discourse - Elena Rosa Maris; The Ballot or the Bullet 50 Years Later: Examining the Ferguson Protests Through the Words of Malcolm X - Fred Jennings",Virginia Commonwealth University; Yuan Zhang; Florida State University; Anna Benbrook; University of Pennsylvania; University of Missouri
Paper Session,Frames in the News: Where Do They Come From?,Political Communication,,
Paper Session,"Sex, Sexting, Sexuality",Children Adolescents and the Media,Boundaries of Sexual Communication: A Mixed-Method Study Exploring Chinese Young Adults' Engagement With Online Sexual Health Information - Jingwen Zhang; Do Media Light Their Fire? The Dual Role of Sexualizing Media in Adolescent Sexual Behavior - Ann Rousseau; Dutch Adolescents' Motives; Exploring the Explanatory Roles of Perceived Utility and Instrumental Attitudes in the Relationship Between Sexually Explicit Internet Material and Casual Sex - Laura P. Vandenbosch; Sexting; Sexting: Adolescents' Perceptions of the Motives and Consequences of Engaging in the Behavior - Joris Van Ouytsel; Visiting Chat Rooms,U of Pennsylvania; Chloe Nurik; U of Leuven - School for Mass Communication Research; Ine Beyens; Perceptions; School for Mass Communication Research (University of Leuven) / MIOS (University of Antwerp); Jochen Peter; Snapchat; University of Antwerp; Ellen Van Gool; Dating Websites
Paper Session,"CAT Hybrid Session 3: Social Media, Interactions, and Self-Presentation",Communication and Technology,,
Paper Session,Flashlights Game Studies Division,Game Studies,,
Paper Session,Qualitative Studies of Provider-Patient Communication,Health Communication,,
Paper Session,"Big Data & Networks: Connecting Communities, Organizations, and Reviews",Communication and Technology,,
Paper Session,"Online Health Literacy, Information Processing, and Seeking",Health Communication,,
Paper Session,"Online Dating: The Beginning, Middle, and End",Communication and Technology,,
Paper Session,"Arguments, Argumentation, and Language Competence",Intercultural Communication,,
Paper Session,The Study of Framing in the Context of Politics,Mass Communication,,
Paper Session,Promising Student Papers,Information Systems,Control Your Facebook: An Analysis of Online Privacy Literacy - Miriam Bartsch; Variation in Probe Tone Frequency Affects Secondary Task Reaction Time - Edgar Jamison-Koenig; Me(n)tal Health: Social Identity Mediates Psychological Recovery Effects of Music Listening - Sabine Reich,U of Hamburg; Tobias Dienlin; Indiana University; Joshua D. Sites; University of Music
Paper Session,The Study of Emotion and Entertainment Media,Mass Communication,,
Paper Session,Studying News Exposure in the Digital Era,Political Communication,,
Paper Session,"Environmental Narratives: Gender Roles, Citizen Engagement, and Storytelling",Environmental Communication,,
Paper Session,Media Life: Markets and Ethics,Popular Communication,,
Paper Session,Technologies at Work,Organizational Communication,,
Paper Session,Powerful Explorations: Public Relations Theory,Public Relations,,
Paper Session,"Privacy, Copyright, and Piracy",Media Industry Studies,,
Paper Session,"The Visual Powers of Place, Space, and Landscape",Visual Communication Studies,,
Paper Session,The Agenda-Setting Role of Old and New Media,Political Communication,,
