Paper ID,Title,Type,Title to Check,Abstract
2003-0015,Advantage ISP: Terms of Service as Media Law,Paper,Advantage ISP: Terms of Service as Media Law,"This study analyzes rules enforced by ISPs with regulatory-like effect in the areas of ISP-user relations, content, and behavior. ISP Terms of Service and Acceptable Use Policies include dozens of rules that forbid constitutionally protected communicative content and behaviors and in many cases force users to grant ISPs licenses to all content uploaded or posted. Users often have no knowledge of enforcement criteria, tools, and practices. While users have liability for all effects of their use -- whether or not intended -- ISPs have almost none. The number of rules put in place by ISPs is multiplying over time. Greater protections for freedom of speech and respect for user intellectual property rights can be found in non-commercial ISPs, while there is less of both in non-US-based ISPs. Possible responses to this trend include economic approaches such as forming large user groups (eg, coalitions of libraries and/or universities) to negotiate agreements with greater protections for constitutional rights and formation of new ISPs that identify such protections as a market niche. Legal approaches include distinguishing between voluntary and involuntary speech environments in the courts, application of public forum analysis to ISPs in the courts and in Congress, and addressing ISP agreements as de facto changes in copyright law that require congressional and judicial attention. Responding to the development of a regulatory-like function for ISPs is important at this point in time because history of use is critical in public forum analyses and other areas of legal precedent."
2003-0016,Advice to Practitioners: A Review of the Popular Press Literature on Planned Change Communication,Paper,Advice to Practitioners: A Review of the Popular Press Literature on Planned Change Communication,"This study offers a thematic analysis of a sample of bestselling popular press books about planned organizational change implementation. Our purpose was to examine the common themes in advice existing within these books and determine the degree of agreement about communication and other necessary implementer strategies. In our analyses, we examined the advice given by these authors regarding the nature of change, the role of the change agents in implementation, the nature of resistance to change, general strategies for implementation, and specific actions steps that implementers should take in communicating during implementation of change. Themes within each of these general categories are presented and discussed in terms of their prevalence and general character."
2003-0017,"Affective-News Theory: Effects of Narrative Structure on Suspense, Curiosity, and Enjoyment While Reading News and Novels",Paper,"Affective-News Theory: Effects of Narrative Structure on Suspense, Curiosity, and Enjoyment While Reading News and Novels","Three studies (n = 311) were conducted to investigate effects of narrative structure and authenticity on suspense, curiosity, and reading enjoyment. A questionnaire developed to measure suspense and curiosity substantiated the discriminant validity of these dimensions. In a web-based study and two paper-pencil studies, respondents read texts that were manipulated for narrative structure (linear, with omission, or 'inverted pyramid'). To manipulate authenticity, texts were presented either as news articles or as novel excerpts, a treatment that proved to be effective. All seven hypotheses gained empirical support. Linear structures evoked more suspense than either structures with omission or the 'inverted pyramid.' Curiosity was higher in reaction to omission structures than it was for either linear structures or the 'inverted pyramid.' The linear structure and the omission structure both produced greater reading enjoyment than the 'inverted pyramid.' Interestingly, these effects were independent of authenticity of media content, being either journalistic or literary."
2003-0018,A field test of equivocation theory: Apologies by Canadian churches to indigenous people,Paper,A field test of equivocation theory: Apologies by Canadian churches to indigenous people,"To extend the avoidance theory of equivocation from quantitative lab experiments to naturally occurring instances, we analyzed the texts of six apologies that were originally offered in person by four Canadian church organizations. The decision of a church to apologize to indigenous people for past actions created a conflict in which the church would wish to avoid the negative consequences of refusing to apologize but also those of a full apology. Using the standard that a true apology includes the agent and the acts of the offense, the analysis focused on whether the church or its representatives were the grammatical subject of acts described in simple active voice (vs. passive, a noun, etc.). Four of the six never used this construction for the offences and were thus equivocal apologies. The internal evidence suggests that potential legal liability is the primary barrier to taking full responsibility."
2003-0019,A Frog in a Well: People's Daily and its Geographic Landscape,Paper,A Frog in a Well: People's Daily and its Geographic Landscape,"This study examines the Chinese medias portrayal of the outside world as it experiences a vital transitional phase from a closed-society. Content analyzing 21 issues of Peoples Daily, the nations most influential newspaper with the largest circulation, the study finds the Chinese media to report international news with limited geographic scope and without diversity of news themes. The landscape constructed by Peoples Daily is Sino-centric as it only maps out Chinas rivals, partners and followers to serve Chinas own political agenda and justify its foreign policy."
2003-0020,A Functional Approach to Political Advertising,Paper,A Functional Approach to Political Advertising,"This study applies the functional theory of political campaign discourse to the 1997 Korean presidential advertisements. Findings challenge the notion that the political campaign was mostly negative. In fact, the candidates used almost the same amount of positive and negative utterances. The incumbent party candidate, Lee, devoted more discourse to acclaim than attack, whereas Kim, the challenger, used more attacks than acclaims. Policy and character were also equally discussed. Both candidates used more acclaims than attacks when they discussed policy. However, they employed more attacks than acclaims when they discussed character."
2003-0021,Age Moderates the Relationship between Social Support and Psychosocial Problems,Paper,Age Moderates the Relationship between Social Support and Psychosocial Problems,"Social support is commonly assumed to protect people from the experience of psychological distress and to enhance well-being. However, past research shows that the effectiveness of social support from family members and friends varies over the life span. Both the theory of evolutionary psychology and socioemotional selectivity theory provide compelling accounts for why this may be the case. In accord with each theory, age was predicted to moderate the association between social support and the experience of depressive symptoms and loneliness. This moderational model was tested in a community-based sample of 325 adults ranging in age from 19 to 85 years. Results indicated that social support from family members and sheer contact with them, as well as social support from a spouse/partner, was most strongly and negatively related to the psychosocial problems in the younger participants. Age also moderated the association between relationship standards and loneliness. Consistent with the assumptions of socioemotional selectivity theory, older people do not appear to be as dependent as younger people are on receiving social support from diverse sources in order to maintain a sense of well-being."
2003-0022,Agenda setting and political partisanship in an election campaign: Reinforcing and undermining partisan voting intentions,Paper,Agenda setting and political partisanship in an election campaign: Reinforcing and undermining partisan voting intentions,"Although the media are perceived to be influential in putting issues on the agenda of other voters, there is less evidence that media agendas influence individual behavior. In this two-wave study conducted before and after the 2001 Australian Federal Election we investigated how the media agenda reinforced and/or undermined partisan voting intentions. Voters from the two political sides and neutral voters uniformly perceived the issues of immigration and defense as focal to others and to the election outcome, although only conservative partisans embraced both issues as important personally. Moreover, regardless of partisanship, personal importance of these issues pre-election was linked with self-reported political behavior post-election in ways that indicated that agenda issues had undermined the partisan intentions of left-wing voters and reinforced the partisan intentions of conservative voters. Results are interpreted as strong evidence for the interplay between political partisanship and the agenda context in election campaigns."
2003-0023,Agenda Setting Effects on Online Users: The analysis of the World Cup coverage and online discussions,Paper,Agenda Setting Effects on Online Users: The analysis of the World Cup coverage and online discussions,"This study examined possible agenda setting and reverse agenda setting effects on online users with the issues of the 2002 World Cup soccer games. There have been only few attempts to apply agenda setting theory to online discussions and sports coverage. For this purpose, this study content analyzed articles of the New York Times and the Washington Post and online discussions of the Google newsgroup about the World Cup.
Correlation tests were used to compare media coverage and online discussions in two ways: media to online users and online users to media. Researchers examined if there was a significant correlation between teams heavily covered by media and teams extensively discussed by online users.
The finding revealed that there were agenda setting effects on online users in general, but reverse agenda setting was not found. The result also suggests that agenda setting effects were associated with the significance of matches."
2003-0024,A general process model of the gender-linked language effect: Antecedents for and consequences of language used by men and women,Paper,A general process model of the gender-linked language effect: Antecedents for and consequences of language used by men and women,"The Gender-Linked Language Effect has been found with great consistency over the past two decades across a wide variety of contexts. Observers reading transcripts of natural communication rate women (whom they can not identify as such) higher on Socio-Intellectual Status (SIS) and Aesthetic Quality (AQ), and men higher on Dynamism (D). But what is the causal chain that leads to this remarkably constant result? The present paper presents a general process model to explain the effect. Constructs of the model include: the speakers situational inputs, perception of context, gender-linked language schemata and stereotypes, and gender-linked language behaviors, as well as the hearers perception of context, gender-linked language schemata and stereotypes, judgments of SIS, AQ, and D, and behaviors toward the speaker. A total of 48 theorems are derived from the model."
2003-0025,A Hunting Season for Pirates: Anti-Piracy Measures and Their Effectiveness in Bulgaria,Paper,A Hunting Season for Pirates: Anti-Piracy Measures and Their Effectiveness in Bulgaria,"According to official estimates, Bulgarias pirate activities have incurred $105 million in trade loses for 1995 alone. Despite some major improvements, the 2002 International Intellectual Property Alliance report, places Bulgaria on the Watch List for countries with excessive levels of piracy.
The recurrent nature of the piracy problem in Bulgaria raises several questions: What is the current state of piracy in Bulgaria? What have been the measures undertaken by the Bulgarian government and international community to combat this problem? Why are Bulgarian CD pirates proving to be so resistant to international and domestic pressure?
In an attempt to address these questions adequately, the present study will be organized into five parts. Part I will provide a brief overview of major international treaties and conventions that govern current anti-piracy efforts. Part II will present an overview of Bulgarian Copyright Law as adopted in September, 1993. Part III will discuss in detail the scope and types of piracy in Bulgaria. Some estimates will be provided as to the losses incurred as a result of pirate trade. Part IV will present a detailed discussion of the measures undertaken in the past 7-8 years to combat piracy in Bulgaria. The last part, Part V, will explore the appropriateness of the measures and their effectiveness in a Bulgarian context. Specifically, it will address such factors as economic development, political history and ideology, culture of the people engaged in piracy and the adequacy of the legal system to enforce the laws."
2003-0026,"A Longitudinal Study Examining The Priming Effects of Music on Driving Anger, State Anger, and Negative-Valence Thoughts",Paper,"A Longitudinal Study Examining The Priming Effects of Music on Driving Anger, State Anger, and Negative-Valence Thoughts","Aggressive driving is a serious problem throughout the United States (e.g., Mizell, 1997; Tasca, 2001). Much of the literature addressing this phenomenon examines factors such as demographics (e.g., Arnett, 1994), personality characteristics (e.g., Deffenbacher, Huff, Lynch, Oetting, & Salvatore, 2000), and environmental circumstances (e.g., Turner, Layton, & Simons, 1975) as aggressive driving predictors. Using Berkowitzs (1993) priming effects theory, the present study examines the effects of music (non-violent music with non-violent lyrics, violent music with no lyrics, and violent music with violent lyrics) on college students negative-valence thoughts, driving anger, and state anger, using a longitudinal experimental design study. Within-subjects effects analyses for each of the four music conditions indicated a significant quadratic contrast for driving anger, negative-valence thoughts, and state anger. Additionally, results identify predictors of driving anger along with a discussion of implications for communication researchers and the radio broadcast industry."
2003-0027,"A Longitudinal Time Series Analysis of the Foreign Affairs Issue: Agendas of the President, the Media, the Public",Paper,"A Longitudinal Time Series Analysis of the Foreign Affairs Issue: Agendas of the President, the Media, the Public","This study examines the relationship among the agendas of the president, the mass media, and the public regarding the foreign policy issue in the United States from January 1989 to December 1996. ARIMA time-series analysis is used in an attempt to assess which factors drive measured public opinion regarding foreign policy. Most important problem survey results from various polling organizations are aggregated into a series of 96 monthly time points to measure the public agenda. The media agenda is developed from a content analysis of the foreign policy issue in the evening news broadcasts of the three major television networks and The New York Times. The presidential agenda is developed from a similar analysis of the Public Papers of the Presidents. Results indicate support for a bidirectional, or two-way relationship between the President and public opinion. Little support was found for a one-way relationship between the media agenda and the President."
2003-0028,A Mediational-Hierarchical Model of Sexual Aggression,Paper,A Mediational-Hierarchical Model of Sexual Aggression,"The study of pornography's potential influence on sexual aggression requires embedding this focus within a broader model that encompasses other relevant factors as well. This study tests a model of sexual aggression that incorporates general antisocial personality characteristics and factors specific to sexual aggression, such as sexual promiscuity, attitudes condoning violence against women and pornography consumption. Results generally indicate strong support for the hypothesized model. Regression analyses demonstrated that, as expected, hostility towards women and an impersonal orientation to sex interact to predict sexual aggression, and that pornography consumption augments this interaction. Structural equation analyses supported the hypothesis that general 'hostile' personality factors indirectly influence sexual aggression, and that this indirect relationship is mediated by hostility specifically directed at women. This research therefore successfully integrates factors common to sexual aggression research conducted in both the criminal and non-criminal populations, and models the role of pornography consumption within this broader integration."
2003-0029,America in Jerusalem: Reflections of the American Image in Israeli Advertising During the 90s,Paper,America in Jerusalem: Reflections of the American Image in Israeli Advertising During the 90s,"American values, symbols, landscapes and lifestyles have been widely used in Israeli advertisements to market a vast array of consumer goods. Analysis of advertisements in Israeli newspapers during the 90s reveals that American symbols were invoked to promote products produced in America, Israel and even third countries. Through examining the relationship between advertising and culture along with the changes that have occurred in Israeli society during this period, our analysis focused on two interlocking spheres: capitalist-economic (labor and production, consumption and technology) and cultural (cultural heroes, language and lifestyle). Using both qualitative and quantitative methods, it is our goal to show how social values change over time, losing their Israeliness and taking on an American flavor. This article seeks to present the manifestation of the American image in Israeli advertisements and thereby fuel discussion of the Americanization of this society"
2003-0030,A Meta-Analysis of the Effectiveness of Family Planning Campaigns in Less Developed Countries,Paper,A Meta-Analysis of the Effectiveness of Family Planning Campaigns in Less Developed Countries,"The present study is a research synthesis on the effectiveness of family planning campaigns in developing countries. Using meta-analysis, the study examined 33 campaigns done by a prominent organization that has received substantial federal funding since 1987. On average, there were small, positive effects of the campaigns on knowledge of modern family planning methods (r = .20), spousal communication about family planning (r = .10), behavioral intentions (r = .08), and use of modern methods of family planning (r = .06). Exposure to the campaigns (averaging 71%) was higher than exposure to domestic campaigns (Snyder & Hamilton, 2002), and the average effect of self-reported campaign exposure on use was r = .14. The results should be interpreted tentatively, but can still be helpful to campaign planners and evaluators."
2003-0031,A Meta-Analytical Review of the Relationship between Teacher Immediacy and Student Learning,Paper,A Meta-Analytical Review of the Relationship between Teacher Immediacy and Student Learning,"This meta-analysis reviews the findings of 81 studies (N = 24,474) examining the relationship between teachers' verbal and/or nonverbal immediacy and students' learning outcomes. The cumulative evidence indicates a meaningful correlation (r = .50) between overall teacher immediacy and overall student learning. Average correlations were obtained for teachers' verbal immediacy (r = .47), nonverbal immediacy (r = .48), and combined-only immediacy (r = .55) in relation to overall student learning. Teachers' verbal immediacy was found to correlate with students' perceived learning (r = .49), affective learning (r = .49), and cognitive learning (r = .06). Teachers' nonverbal immediacy was found to correlate with students' perceived learning (r = .51), affective learning (r = .49), and cognitive learning (r = .17). Average effect sizes were generally smaller in experimental research designs than in survey-type research. The cumulative results of this meta-analysis confirm that teacher immediacy has a substantial relationship with certain attitudes and perceptions of students in relation to their learning, but an almost negligible relationship with cognitive learning performance."
2003-0032,A Model for Assessing Web Sites as Tools in Building Organizational-Public Relationships,Paper,A Model for Assessing Web Sites as Tools in Building Organizational-Public Relationships,": This essay draws upon previous theorizing in public relations (Broom, Casey & Ritchey, 1997; J. Grunig & Huang, 2000) to outline a model of antecedents, processes and consequences of using web sites to build and maintain organizational-public relationships. A variety of organizational, systems and user factors influence the process. Users become aware of and access a site, learn about content and the source, interact with the system and possibly other people, and form attitudes about the content and system. The effects or consequences of online communications can be measured terms of a user's knowledge of content or the source, attitudes toward the organization, subsequent communications activities, and engagement in behaviors that benefit the organization."
2003-0033,"A Model of Consumer Behaviors in Electronic Commerce: Trust, Information Search, and Internet Shopping",Paper,"A Model of Consumer Behaviors in Electronic Commerce: Trust, Information Search, and Internet Shopping","Both trust in e-commerce and online product information search have been discussed as key concepts in e-commerce literature. This paper examines the influence of these two factors on online shopping in association with other consumer characteristics such as impulsiveness, innovativeness, and trust in overall business system. We also include Internet skill and time spent online as being antecedent to e-commerce trust and product information seeking over the Internet. By specifying relationships among these concepts, we attempted to propose a model of consumer behaviors on the Internet. Results indicate that, as expected, trust in e-commerce and online information search played central role in explaining online shopping. The two carry much of other factors¡¯ influence on online shopping, showing how consumer personality characteristics, predispositions, Internet skill and amount of Internet use are related to online shopping."
2003-0034,A Moderating Role of Channel Responsiveness in the Effects of Online Information Source,Paper,A Moderating Role of Channel Responsiveness in the Effects of Online Information Source,"A lack of regulation on the content and content providers of online information, particularly online health information, allows anyone including non-professionals to provide health information on the Internet. Potentially inaccurate and biased information provided by non-professionals and those with commercial intent may result in adverse effects on individuals health. In this study, we investigate if indication of a source of online health information can have positive effects on key health outcomes and if responsiveness of the information channel, the Web site, moderates the effects of source. Findings of the study show that effects of source and responsiveness of the Web site are contradictory to common expectations. Implications for government and commercial sources of online health information are discussed."
2003-0035,A Multidimensional Approach to the Study of Media Effects,Paper,A Multidimensional Approach to the Study of Media Effects,"One major development in mass communication scholarship has been the identification of dimensions of media effects. A dimension is a measurable quality that implies magnitude and (usually) direction, such as the time it takes for an effect to occur. Any media effect can be characterized in terms of its dimensions. A review of the literature has uncovered eight important mass media dimensions. It is proposed that these can be used to develop richer conceptualizations of media effects, to organize and evaluate the literature, and to build theory. In addition, these dimensions can be combined to form higher-level conceptualizations, as well as matrices of effects that also can be used for pedagogy, analysis and theory construction."
2003-0036,A Multilevel Study of Interpersonal Influence in Academic Influence Networks,Paper,A Multilevel Study of Interpersonal Influence in Academic Influence Networks,"A widely held principle of social networks is the assertion that structural centrality is associated with interpersonal influence (Freeman, 1979; Friedkin, 1998; Mizruchi & Potts, 1998; Rogers, 1995). Academic networks are used to test this association, employing a multilevel model that includes communication network data and psychometric measurements of influence from one hundred fifteen faculty who represent thirteen academic departments. Although the centrality-influence link is partially supported, centrality did not predict behavioral intentions. Implications for the centrality-influence link and related multilevel theories of social influence are addressed."
2003-0037,An Academic Accomplishment Index For Assessing Faculty Performance,Paper,An Academic Accomplishment Index For Assessing Faculty Performance,"A quantitative procedure was developed for assessing the scholarly, teaching and service accomplishments of faculty members who are being reviewed for promotion and tenure. A national survey was conducted with 109 university and colleges soliciting administrators judgments for their assessments of their colleagues performance and productivity. The administrators were asked to respond to a paired-comparison questionnaire consisting of eleven faculty performance criteria, indicating in each of the 55 possible pairs which was more important as an indicator of achievement. The Academic Assessment Index (AAI) was then developed from a statistical analysis of these results. It is suggested that this AAI may provide an important perspective on the difficult issue of assessing faculty performance. That perspective can be of value not only to administrators who must make those judgments, but also to those pursuing advanced degrees in preparation for a career in higher education and for newly hired faculty members who need to understand how their teaching, scholarly performance and service activities will be judged by senior colleagues and administrators as they seek career advancement."
2003-0038,AN ALTERNATIVE APPROACH TO MEDIA DISPLACEMENT STUDY: SELECTIVE DISPLACEMENT BASED ON THE NEWS CONTENT,Paper,AN ALTERNATIVE APPROACH TO MEDIA DISPLACEMENT STUDY: SELECTIVE DISPLACEMENT BASED ON THE NEWS CONTENT,"This paper aims to provide a new approach to media displacement studies by changing the unit of observation to the content level from the medium level. With a special focus on news content, this paper examines which areas of news of the older media have been displaced by the Internet. The data used in this study were obtained from a survey at Pew Research Center conducted in June 2000 (n= 1,107). The results, of the relations of demographic variables, news attention, and news interest to the phenomenon of media functional displacement, shows that people who experienced displacement since Internet use are different from those who did not. Based on the results, we suggest that observation at the content level explains some more than observation at the medium level."
