Paper ID,Title,Session,Division/Unit,Sumission Type,Research Areas,Title to Check,Session to Check,Abstract
2013-0501,Diverse Perspectives on Presence and Telepresence: An Introduction,"Diverse Perspectives on Presence and Telepresence Research, Theory, and Application",Communication and Technology,Session Paper,,Diverse Perspectives on Presence and Telepresence: An Introduction,"Diverse Perspectives on Presence and Telepresence Research, Theory, and Application","This introduction to the panel will provide an overview of the evolution, current status and prospects for future study and application of the (tele)presence concept. Scholarship around presence is increasing, and increasingly important. as the range of available modes of communication via technology multiply at the beginning of the 21st century. Many, though not all, of us will soon have the ability to interact with real or artificial people, places and events with a nearly limitless set of choices of sensory channel, setting and quality. The presentation will briefly review the ‘big picture’ of presence – how its phenomena, concepts, literatures, institutions and research and professional communities have evolved and predictions about what’s next."
2013-0551,Eggnog and Community: A Case Study of Local Digital Commentary and the Emerging Role of Television,Top Theme Papers 2013: Challenging Communication Research,Theme Sessions,Paper,,Eggnog and Community: A Case Study of Local Digital Commentary and the Emerging Role of Television,Top Theme Papers 2013: Challenging Communication Research,"This study examined news-oriented digital commentary through the theory of the public sphere and the related concept of geographically centered journalism as an important ingredient in invigorating the sphere. The study examined the overall presence of digital commentary in specific community as well as examined in-depth a specific episode in which community members rose up to challenge a television station’s reporting. Overall, this study found four conditions present in connection with robust dialogue: A spark, something around which an audience can coalesce; a place where such conversation is expected; policies that allow relatively unfettered communication and a sufficient mass of audience to keep the sphere inflated and energized. In addition, this study found that the medium was incidental to this process. Further, this study also found little dialogue taking place during routine times."
2013-0601,Examining Korea’s 2012 Presidential Election Campaigns Using (Negative) Entropy Indicator,"Preconference: New Media and Citizenship in Asia: Researching the Practices, Functions, and Effects of the New Media in Asian Politics",Sponsored Sessions,Session Paper,,Examining Korea’s 2012 Presidential Election Campaigns Using (Negative) Entropy Indicator,"Preconference: New Media and Citizenship in Asia: Researching the Practices, Functions, and Effects of the New Media in Asian Politics",   Han Woo Park (Yeungnam U)
2013-0651,"Features, Blogs and User-Generated Content Might Not Save Journalism: Evidence From a Comparative Study of the Supply and Demand of Online News",News Audiences and New Media: What Do Users Want?,Journalism Studies,Paper,"Hard/soft news, Online media/blogs, Audience","Features, Blogs and User-Generated Content Might Not Save Journalism: Evidence From a Comparative Study of the Supply and Demand of Online News",News Audiences and New Media: What Do Users Want?,"This study examines relative prevalence of different storytelling formats in the supply and demand of online news; how they combine with various subject matters; and the extent to which there is a gap between the journalists’ and consumers’ preferences on twenty sites from seven countries. We find that, contrary to the idea that the “news has gone soft,” the narratively sparse and fact-loaded straight news format is the dominant storytelling option for both journalists and consumers. By contrast, the newer storytelling options such as blogs and user-generated content exhibit extremely low levels of popularity among both groups. Moreover, there is a gap between the supply and demand of online news: journalists oversupply straight news that deal with public affairs topics and undersupply other format-content combinations. These findings contribute to the study of journalism by shedding light on the dynamics of agenda-setting and public affairs information dissemination in high-choice media environments."
2013-0701,From Monophonic to Jazzy Integrated Communications,Public Relations and Communication Channels,Public Relations,Paper,,From Monophonic to Jazzy Integrated Communications,Public Relations and Communication Channels,"Within corporate communications, two contradictory tendencies appear to be asserting themselves. On the one hand, many companies are concerned with integrating their PR and marketing communications, so as to speak with one voice, while on the other, many companies make a virtue of their differences, both within and outside the organisation. In this paper, we will examine four different approaches to integrated communications which relate in different ways to these trends. The various approaches are typologised with the help of musical metaphors. The four forms are: monophonic, unison, polyphonic and jazzy integrated communications. Both theorists and practitioners are drawn upon in the examination, as well as intermediate positions – theoretical practitioners and practical theorists."
2013-0751,Governing the homo economicus; Consumer representations in bank advertisements,Preconference: Exploring and Remaking Critical Studies of Advertising,Sponsored Sessions,Session Paper,,Governing the homo economicus; Consumer representations in bank advertisements,Preconference: Exploring and Remaking Critical Studies of Advertising,"This presentation is about historical consumer portrayals in Finnish print advertisements of banks. Drawing from Foucaultian studies of governmentality and critical studies of consumer culture, I view advertising as a form of government. Advertisements hail the viewers as consumers; the marketers aim at mobilizing people as consumers by constructing particular forms of subjectivity. The data covers bank advertisements in 1954 – 2008 in the leading current affairs weekly magazine Suomen Kuvalehti and the human interest weekly Apu. As result, from 1950’s to 1980’s the consumers were represented mainly as rational subjects (homo economicus), yet they were addressed as wards by the banks. Alongside a representation of an emotion-driven consumer (homo emotiocus) was increasingly visible in particular from the 1980’s. This is when the Customer Relationship Marketing took over in marketing thinking and the consumers were addressed more as equals like partners."
2013-0801,How Journalists‘ and Scientists‘ Views on Objectivity Influence Their Accounts of Reality,Journalism Studies Interactive Poster Session,Journalism Studies,Paper,"Journalistic norms/routines, Bias in News, Quantitative approach",How Journalists‘ and Scientists‘ Views on Objectivity Influence Their Accounts of Reality,Journalism Studies Interactive Poster Session,"Authors have suggested that the quality of news would increase if journalists adopted scien-tific standards or, specifically, a scientific definition of objectivity. A quasi-experimental sur-vey of 134 German journalists (34 %) and 163 scientists / scholars (33 %) from different sub-ject areas was conducted to investigate a) how much the professionals commit themselves to objectivity, b) how they define objectivity and c) if a scientific understanding of objectivity improves journalists’ news decisions. Results suggest the contrary. Journalists and academic professionals are highly committed to objectivity but have different understandings of it. The more journalists subscribe to the definition that is prevalent in their profession, the more they criticize exaggerated or selective accounts of reality. The more journalists accept academics’ criteria of objectivity the more they seem to excuse exaggerated or incomplete accounts. Moreover, a strong commitment to objectivity enhances criticism toward exaggerated or selective accounts in both professions."
2013-0851,Imagological thinking: Sampo in branding and advertising,Preconference: Exploring and Remaking Critical Studies of Advertising,Sponsored Sessions,Session Paper,,Imagological thinking: Sampo in branding and advertising,Preconference: Exploring and Remaking Critical Studies of Advertising,"Concept is the field of organised/structured associations and connotations around a certain semantic center. Every concept can be described by means of the semantic differential analysis (i.e., the Tucker standard test). All possible concretions (visualisations) of these conceptual associative and connotative clusters form the imagological potential. From this imagological menu of outwardly different but semantically related potential concretions (visualisations) _ so-called allotropes _ an image-maker (brand-builder) can choose the most favorables to initiate the implicit story-telling as a new brand awareness of the audience. The mechanism of conceiving and generating stories operates in the most efficient way as the Sampo of the Finnish epic _ as a hidden quern grinding flour, salt and money of thin air."
2013-0901,Internet Aggregators Constructing the Political Right Wing,"Preconference: New Media and Citizenship in Asia: Researching the Practices, Functions, and Effects of the New Media in Asian Politics",Sponsored Sessions,Session Paper,,Internet Aggregators Constructing the Political Right Wing,"Preconference: New Media and Citizenship in Asia: Researching the Practices, Functions, and Effects of the New Media in Asian Politics",   Muneo Kaigo (U of Tsukuba)
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,Sex and Romance and Sexual Identity: Exploring Links With Media (High Density Session),Children Adolescents and Media,Paper,,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,Sex and Romance and Sexual Identity: Exploring Links With Media (High Density Session),"The objectives of this study are (1) to investigate gender differences in mobile texting behavior among adolescents and (2) to examine a novel methodology – corpus comparison analysis – in analyzing mobile-phone-based interactions. Applying corpus comparison method, the present study especially delineates patterns of expressions used in actual text messages. Results revealed that gender differences persist in texting behavior: (1) girls exchange more messages than boys do; (2) girls are more likely to develop and maintain relationship through texting, whereas boys use text messages mainly for flirting; (3) language which girls used in texting includes more self-disclosure of their emotions and personal information; (4) expressions for politeness occur more frequently in girls’ text messages. Theoretical explanations of gender differences in mobile texting are provided. The strengths and limitations of keyword comparison method are discussed as well."
2013-1001,Letting Go of Superwoman: Embodying the Mother-Child Dyad,Gender Blind/Gender Vision: One Step Forward,Feminist Scholarship,Work in Progress,,Letting Go of Superwoman: Embodying the Mother-Child Dyad,Gender Blind/Gender Vision: One Step Forward,"This chapter is a work in progress. This is an excerpt from Reviving the Self: Beyond the Wandering Womb (working title of a book in progress). In Chapter 2: Letting go of superwoman: Embodying the mother-child dyad, I present findings from 44 in-depth interviews with biological mothers of newborns to understand how the mother-child dyad impacted their meaning making of health. Participants acknowledged the intrinsic duality of the mother-child dyad and reformulated traditional expectations of “putting the baby first.” This chapter weaves an eclectic mix of feminist theory and scholars, including Foucault, Pollock, Martin and Friedan to explicate how women make meaning of medicalization. Participants described a contest over their bodies in relation to diet and exercise before, during, and after pregnancy. These women resisted the biomedical paradigm in various ways, such as through trusting their bodies and valuing storytelling and personal narrative as a form of expertise."
2013-1051,Making the World a Distant Place? How Foreign TV News Affects Individual Cynicism in Post-Colonial Hong Kong,Covering the World: Foreign Correspondents and Foreign News,Journalism Studies,Paper,"Bias in News, Media Effects - Other, Quantitative approach",Making the World a Distant Place? How Foreign TV News Affects Individual Cynicism in Post-Colonial Hong Kong,Covering the World: Foreign Correspondents and Foreign News,"This paper examines the psychological impact of foreign television news on political cynicism in Hong Kong. We hypothesize that exposure to the prevalent negative events and conflicts in international news will lead to the audience’s cynical perception of the world. Given Hong Kong’s colonial history and its highly mobilized population, we further investigate the role of individual globality and immigration status in the process. A random digit dialing telephone survey was conducted in 2009 to select a sample of 600 Hong Kong residents aged between 18 and 70. The results showed that individual attention to foreign news of deviants was positively associated with political cynicism among those first-generation immigrants who were born in mainland China or elsewhere, but negatively related among local Hong Kongers. The implications of the findings were discussed."
2013-1101,Media Cues and Citizen Support for Right-Wing Populist Parties,"Immigration, Racial Attitudes, and Right-Wing Populism",Political Communication,Paper,"Political Behavior - Other, Elections / Campaigns, Media Effects - Other",Media Cues and Citizen Support for Right-Wing Populist Parties,"Immigration, Racial Attitudes, and Right-Wing Populism","Right-wing populist parties are thriving across Europe. Usual explanations for the success of these parties are based on notions related to economics, national identity or cultural alienation. Some authors, however, have shown that the mass media also play a significant role. Whereas these studies provide evidence drawing on macro-level data resources and/or qualitative accounts, there is little systematic evidence about how mass media coverage may affect support for the populist right on the level of the individual voter. The current study adds to the existing literature on media and political populism by 1) its individual-level focus, 2) the use of an experimental design employing multiple cues: an immigration cue, an anti-politics cue and a party cue, and 3) by drawing on explicit and implicit data for party support. We find effects of certain cues on both implicit and explicit support for far right parties, moderated by political knowledge."
2013-1151,m-Health: A Systematic Review of the First 10 Years of Research,Diverse Facets of ICT Use (CAT High Density Panel II),Communication and Technology,Paper,"Mobile Media, Health Communication, Internet / New Technology",m-Health: A Systematic Review of the First 10 Years of Research,Diverse Facets of ICT Use (CAT High Density Panel II),"In the last decade m-Health has expanded as a part of e‐Health. Yet, systematic research on the impact of mobile technologies on health outcomes remains scarce. The objective of this study was to provide a comprehensive view of what has been done so far, and to understand how the introduction of new smartphones has changed research in the field. A systematic literature review was conducted on a sample of 117 articles published between 2002 and 2012 to understand the main impact areas of mobile technologies, the methodology and the features used, and the type of outcome measures adopted. Results showed that the research interest towards m‐Health is growing, however the new opportunities offered by new mobile technologies do not seem to have been explored so far. Mapping the evolution of the field permits a better understanding of its strengths and weaknesses, and can inform future developments."
2013-1201,"My Privacy is Okay, But Theirs is Endangered! Social Origin of Online Privacy Concern and its Behavioral Implications",Privacy and Trust in the Online Environment,Communication and Technology,Paper,"Internet / New Technology, Public Opinion","My Privacy is Okay, But Theirs is Endangered! Social Origin of Online Privacy Concern and its Behavioral Implications",Privacy and Trust in the Online Environment,"On the Internet, people’s activities are easily traced and collected, and online privacy infringement (i.e., improper use of personal information) has been reported in advanced societies. Based on prior studies on risk perception, this study examines comparative optimism of online privacy infringement (i.e., users tend to believe privacy infringement is less likely to happen to the user than others), and its antecedents and consequences. Relying on large scale online survey data in South Korea (N = 2,028), this study finds that (1) comparative optimism is enlarged as the targeted others are younger, (2) online knowledge and others-caring personality increases comparative optimism by mainly influencing perceived target risk and prior experience of privacy infringement increases comparative optimism by mainly influencing perceived personal risk, and (3) comparative optimism is related with both more adoption of privacy-protective behaviors and support for government regulatory policy on the use of online information."
2013-1251,News Media Use and the Informed Public in the Digital Age,"Changing Media Environments, Changing Media Use Patterns",Political Communication,Paper,"Political Knowledge & Sophistication, News / Journalism, Internet / New Technology",News Media Use and the Informed Public in the Digital Age,"Changing Media Environments, Changing Media Use Patterns","Questions concerning the primary sources of political information and their efficacy are of perennial concern in political communication research. Although research in this area is known for a number of stable patterns, we argue that these are under greater strain than ever before, and that key assumptions about how individuals acquire political information from the media must be continually investigated. In this paper, we use data from a nationally representative online survey to provide just such a reexamination of relationships between news media use and political knowledge. We find that by some measures, directed internet searches have come to rival television news as a source for information, and that newspapers no longer appear to have the strongest educative influences. In addition to providing an updated assessment of media use and political knowledge patterns, we consider the implications of our findings for contemporary theoretical discussions within the field of political communication."
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,Instructional & Developmental Communication,Paper,,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,"Research has shown that medical students like to watch medical dramas, but there is some concern about how this might eventually affect their professional behavior. The aim of the current study is to provide insight into the moral evaluations of medical dramas by medical students and physicians in order to formulate if and how medical dramas might be used as a tool in ethics education, thereby bringing clarity to the discussion over the proposed merit it could have in such a curriculum. A qualitative study was conducted that included in-depth interviews (N = 40) among a divers sample of medical students and physicians. The results show that the moral evaluations of a medical drama changed over time due to more (theoretical and practical) knowledge and experience and therefore a more nuanced view of the profession and professional ethics."
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,Instructional & Developmental Communication,Paper,,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,"Research has shown that medical students like to watch medical dramas, but there is some concern about how this might eventually affect their professional behavior. The aim of the current study is to provide insight into the moral evaluations of medical dramas by medical students and physicians in order to formulate if and how medical dramas might be used as a tool in ethics education, thereby bringing clarity to the discussion over the proposed merit it could have in such a curriculum. A qualitative study was conducted that included in-depth interviews (N = 40) among a divers sample of medical students and physicians. The results show that the moral evaluations of a medical drama changed over time due to more (theoretical and practical) knowledge and experience and therefore a more nuanced view of the profession and professional ethics."
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,Instructional & Developmental Communication,Paper,,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,"Research has shown that medical students like to watch medical dramas, but there is some concern about how this might eventually affect their professional behavior. The aim of the current study is to provide insight into the moral evaluations of medical dramas by medical students and physicians in order to formulate if and how medical dramas might be used as a tool in ethics education, thereby bringing clarity to the discussion over the proposed merit it could have in such a curriculum. A qualitative study was conducted that included in-depth interviews (N = 40) among a divers sample of medical students and physicians. The results show that the moral evaluations of a medical drama changed over time due to more (theoretical and practical) knowledge and experience and therefore a more nuanced view of the profession and professional ethics."
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,Instructional & Developmental Communication,Paper,,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,"Research has shown that medical students like to watch medical dramas, but there is some concern about how this might eventually affect their professional behavior. The aim of the current study is to provide insight into the moral evaluations of medical dramas by medical students and physicians in order to formulate if and how medical dramas might be used as a tool in ethics education, thereby bringing clarity to the discussion over the proposed merit it could have in such a curriculum. A qualitative study was conducted that included in-depth interviews (N = 40) among a divers sample of medical students and physicians. The results show that the moral evaluations of a medical drama changed over time due to more (theoretical and practical) knowledge and experience and therefore a more nuanced view of the profession and professional ethics."
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,Instructional & Developmental Communication,Paper,,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,"Research has shown that medical students like to watch medical dramas, but there is some concern about how this might eventually affect their professional behavior. The aim of the current study is to provide insight into the moral evaluations of medical dramas by medical students and physicians in order to formulate if and how medical dramas might be used as a tool in ethics education, thereby bringing clarity to the discussion over the proposed merit it could have in such a curriculum. A qualitative study was conducted that included in-depth interviews (N = 40) among a divers sample of medical students and physicians. The results show that the moral evaluations of a medical drama changed over time due to more (theoretical and practical) knowledge and experience and therefore a more nuanced view of the profession and professional ethics."
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,Instructional & Developmental Communication,Paper,,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,"Research has shown that medical students like to watch medical dramas, but there is some concern about how this might eventually affect their professional behavior. The aim of the current study is to provide insight into the moral evaluations of medical dramas by medical students and physicians in order to formulate if and how medical dramas might be used as a tool in ethics education, thereby bringing clarity to the discussion over the proposed merit it could have in such a curriculum. A qualitative study was conducted that included in-depth interviews (N = 40) among a divers sample of medical students and physicians. The results show that the moral evaluations of a medical drama changed over time due to more (theoretical and practical) knowledge and experience and therefore a more nuanced view of the profession and professional ethics."
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,Instructional & Developmental Communication,Paper,,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,"Research has shown that medical students like to watch medical dramas, but there is some concern about how this might eventually affect their professional behavior. The aim of the current study is to provide insight into the moral evaluations of medical dramas by medical students and physicians in order to formulate if and how medical dramas might be used as a tool in ethics education, thereby bringing clarity to the discussion over the proposed merit it could have in such a curriculum. A qualitative study was conducted that included in-depth interviews (N = 40) among a divers sample of medical students and physicians. The results show that the moral evaluations of a medical drama changed over time due to more (theoretical and practical) knowledge and experience and therefore a more nuanced view of the profession and professional ethics."
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,Instructional & Developmental Communication,Paper,,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,"Research has shown that medical students like to watch medical dramas, but there is some concern about how this might eventually affect their professional behavior. The aim of the current study is to provide insight into the moral evaluations of medical dramas by medical students and physicians in order to formulate if and how medical dramas might be used as a tool in ethics education, thereby bringing clarity to the discussion over the proposed merit it could have in such a curriculum. A qualitative study was conducted that included in-depth interviews (N = 40) among a divers sample of medical students and physicians. The results show that the moral evaluations of a medical drama changed over time due to more (theoretical and practical) knowledge and experience and therefore a more nuanced view of the profession and professional ethics."
