Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
2013-1051,Making the World a Distant Place? How Foreign TV News Affects Individual Cynicism in Post-Colonial Hong Kong,2,1,Wan-Ying Lin,City U of Hong Kong
2013-1051,Making the World a Distant Place? How Foreign TV News Affects Individual Cynicism in Post-Colonial Hong Kong,2,2,Xinzhi Zhang,City U of Hong Kong
2013-1101,Media Cues and Citizen Support for Right-Wing Populist Parties,3,1,Penelope Helen Sheets,U of Amsterdam
2013-1101,Media Cues and Citizen Support for Right-Wing Populist Parties,3,2,Linda Bos,U of Amsterdam
2013-1101,Media Cues and Citizen Support for Right-Wing Populist Parties,3,3,Hajo Boomgaarden,U of Amsterdam
2013-1151,m-Health: A Systematic Review of the First 10 Years of Research,3,1,Maddalena Fiordelli,U of Lugano
2013-1151,m-Health: A Systematic Review of the First 10 Years of Research,3,2,Nicola Diviani,U della Svizzera italiana
2013-1151,m-Health: A Systematic Review of the First 10 Years of Research,3,3,Peter J. Schulz,U della Svizzera Italiana
2013-1201,"My Privacy is Okay, But Theirs is Endangered! Social Origin of Online Privacy Concern and its Behavioral Implications",3,1,Young Min Baek,Yonsei U
2013-1201,"My Privacy is Okay, But Theirs is Endangered! Social Origin of Online Privacy Concern and its Behavioral Implications",3,2,Eun-Mee Kim,Seoul National U of Technology
2013-1201,"My Privacy is Okay, But Theirs is Endangered! Social Origin of Online Privacy Concern and its Behavioral Implications",3,3,Young Bae,Soongsil U
2013-1251,News Media Use and the Informed Public in the Digital Age,7,1,Michael Andrew Xenos,U of Wisconsin
2013-1251,News Media Use and the Informed Public in the Digital Age,7,2,Dietram A. Scheufele,U of Wisconsin
2013-1251,News Media Use and the Informed Public in the Digital Age,7,3,Dominique Brossard,U of Wisconsin
2013-1251,News Media Use and the Informed Public in the Digital Age,7,4,Doo-Hun Choi,U of Wisconsin
2013-1251,News Media Use and the Informed Public in the Digital Age,7,5,Michael Cacciatore,U of Wisconsin
2013-1251,News Media Use and the Informed Public in the Digital Age,7,6,Sara Yeo,U of Wisconsin
2013-1251,News Media Use and the Informed Public in the Digital Age,7,7,Leona Yi-Fan Su,U of Wisconsin
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,1,Serena Daalmans,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,2,Merel van Ommen,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,3,Addy Weijers,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,1,Serena Daalmans,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,2,Merel van Ommen,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,3,Addy Weijers,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,1,Serena Daalmans,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,2,Merel van Ommen,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,3,Addy Weijers,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,1,Serena Daalmans,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,2,Merel van Ommen,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,3,Addy Weijers,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,1,Serena Daalmans,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,2,Merel van Ommen,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,3,Addy Weijers,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,1,Serena Daalmans,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,2,Merel van Ommen,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,3,Addy Weijers,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,1,Serena Daalmans,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,2,Merel van Ommen,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,3,Addy Weijers,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,1,Serena Daalmans,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,2,Merel van Ommen,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,3,Addy Weijers,Radboud U Nijmegen
2013-1701,Sweden: Are Direct Press Subsidies the Preferred Solution?,1,1,Lars W. Nord,Mid Sweden U
2013-1751,"The 3-Ds of Globalized Bollywood: Digitalization, D-Cinema, and the Demassification of South Asian Cinematic Public Spheres",1,1,David J. Schaefer,Franciscan U - Steubenville
2013-1801,The Digital Globe and Climactic Coming Attractions: From Theatrical Release to Theatre of War,1,1,Leon Gurevitch,Victoria U of Wellington
2013-1851,"The ""Feminization"" of the Media in Postcommunist Eastern Europe",1,1,Diana Iulia Nastasia,Southern Illinois U
2013-1901,"The Israeli Term for Talk ""Tokbek"" (Talk-Back - Online Commenting) and its Relevance to the Online Public Sphere",2,1,Nimrod Shavit,U of Massachusetts
2013-1901,"The Israeli Term for Talk ""Tokbek"" (Talk-Back - Online Commenting) and its Relevance to the Online Public Sphere",2,2,Gonen Dori-Hacohen,U of Massachusetts
2013-1951,The Political Mapping of Korean Twitter Users,3,1,Yoonmo Sang,U of Texas
2013-1951,The Political Mapping of Korean Twitter Users,3,2,Myunggoon Choi,Sungkyunkwan U
2013-1951,The Political Mapping of Korean Twitter Users,3,3,Han Woo Park,Yeungnam U
2013-2001,The Role of Conversation in Developing Accurate Political Perceptions: A Multilevel Social Network Approach,2,1,"William P. Eveland, Jr.",Ohio State U
2013-2001,The Role of Conversation in Developing Accurate Political Perceptions: A Multilevel Social Network Approach,2,2,Myiah J Hutchens,U of Arizona
2013-2051,The Ubiquity and Influence of CMC Cues in Social Networking Sites,2,1,Yoram M. Kalman,Open U of Israel
2013-2051,The Ubiquity and Influence of CMC Cues in Social Networking Sites,2,2,Darren R. Gergle,Northwestern U
2013-2101,Top Student Paper: The Unobserved Observer: Humphrey Spender's Hidden Camera and the Politics of Visibility in Interwar Britain,1,1,Annie Rudd,Columbia U
2013-2151,"Twitards and Tyler’s Van: Antifans, Twilight, and Textuality",2,1,Melissa A. Click,U of Missouri
2013-2151,"Twitards and Tyler’s Van: Antifans, Twilight, and Textuality",2,2,Holly Willson Holladay,U of Missouri
2013-2201,Validating Measures of Health-Related Conversation Content in the Context of Sleep Behavior Among College Students,2,1,Rebecca Robbins,Cornell U
2013-2201,Validating Measures of Health-Related Conversation Content in the Context of Sleep Behavior Among College Students,2,2,Jeff Niederdeppe,Cornell U
2013-2251,What Are the Values and Impacts of Public Relations on Business News?: A Survey of Business Journalists on the Use of Information Subsidies and the Determinants of That Use,1,1,Sun Young Lee,Texas Tech U
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,1,Serena Daalmans,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,2,Merel van Ommen,Radboud U Nijmegen
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,3,3,Addy Weijers,Radboud U Nijmegen
