Paper ID,Title,Session,Session Division,Individual Division,Session SubDivision,Sumission Type,Title to Check,Session to Check,Abstract
2005-0011,A Critical Analysis of EU Mobile Narratives and the Ideal Citizen of the Mobile World,"Politics, E-Government, and Technology, Part 2",Communication and Technology,,,Paper,A Critical Analysis of EU Mobile Narratives and the Ideal Citizen of the Mobile World,"Politics, E-Government, and Technology, Part 2","This paper compares and contrasts corporate and policy narratives of advanced cell phone use by the citizens-consumers of the European information society. It begins an exploration of the dominant discourses of mobile media technologies and looks to information society narratives in the European Union context for some preliminary answers. I applied methods of qualitative textual analysis to select European Commission policy documents and commercial mobile texts from the web sites of Europe-based cellular giants Nokia and Siemens. How do these distinct narratives understand the impact of 3G mobile services on human agency and interaction? Who are the mobile citizens of these narratives and what services are they framed as desiring? I argue that many mobile narratives amount to political visions for a networked society of citizen-consumer-laborers. They are often narrow and one-sided visions of what mobile and pervasive ICTs should be designed to do, and how, why, and under what circumstances groups of users, such as individuals, corporations, and governments can and should use them."
2005-0012,A Critical Review of Research on Cultural Similarities and Differences in Emotional Support,"Emotions, Social Support and Coping",Interpersonal Communication,,,Paper,A Critical Review of Research on Cultural Similarities and Differences in Emotional Support,"Emotions, Social Support and Coping","The current paper reviews the available research evidence concerning cross-cultural similarities and differences in the processes through which people seek, provide, and respond to emotional support. This review indicates that emotional support is both a universal and culturally defined phenomenon. Members of different cultures seem to exhibit some fundamental similarities in what they seek from close relationships, in what they perceive as effective forms of emotional support, and in what they see as appropriate courses of action to take when providing support to distressed others. There are some equally important differences in the ways in which members of different cultures seek, provide, and respond to emotional support. Following a discussion of the implications and limitations of existing research, the paper also suggests some directions for future research."
2005-0013,A Critical Study of Representing Other: The Case of Media SARS Coverage on Vietnam and China,Journalism Studies Interactive Paper Session,Journalism Studies,,,Paper,A Critical Study of Representing Other: The Case of Media SARS Coverage on Vietnam and China,Journalism Studies Interactive Paper Session,"Critical school thinking line in the concept of representing the other incurs certain degree of reductionism and essentialism. In some cases, it can be misused and even be viewed as an apologist proposition for those who exercise suppressive power to create false positive image of their home countries, such as the fallacy of the western media demonising China. By comparing the frames, themes and tones used to communicate China and Vietnams image by the mainstream western-led English press in five countries (i.e., U.S., U.K., Canada, Singapore, Australia) during the SARS crisis in 2003, this study re-examines one of the essential aspects of global journalistic dilemma in covering and depicting the other. Through a combination of empirical data and contextual analysis, the study attempts to show how and why the other receives international media treatment differently. Both internal forces and external factors, interplaying and often competing, have constituted the dynamic process of national images construction as a whole. These are important issues that are constantly unnoticed and untouched by contemporary established cultural studies."
2005-0014,A Critique of Active Audience Studies: The Audience as Political Participants in Alternative Media,Watching and Being Watched,Philosophy of Communication,,,Paper,A Critique of Active Audience Studies: The Audience as Political Participants in Alternative Media,Watching and Being Watched,"Active audience studies emphasize on the audiences ability to engage in oppositional decodings of media texts. However, this emphasis on audience competence not only privileges an active audience engaged in alternative or oppositional readings, but it also overlooks the fact that such audience decodings have rarely been channeled into producing progressive political ends. This paper criticizes active audience theories weakness in developing a means for assessing political effectiveness of audience resistance. The author suggests that the alternative media can encourage the audience to get involved in political life by providing information for action that functions as a comprehensive counterpoint to the mainstream media stories about politics and government."
2005-0015,A Cross-cultural Adaptation and Feminist Perspective of the Lives of Chinese F2s,Women Using Technology: From Cell Phones to On-line Dating,Feminist Scholarship,,,Paper,A Cross-cultural Adaptation and Feminist Perspective of the Lives of Chinese F2s,Women Using Technology: From Cell Phones to On-line Dating,"Employing cross-cultural adaptation and feminism perspective, this study applies participant observation method and examines the lives of Chinese F2s in the United States through analyzing the discourse of F1-F2 issues in the virtual community Family Board of the Unknown Space. The findings suggest that F2s depend completely on their spouses; F2s have to do all household chores; both F1s and F2s feel the pressure of adapting to a new place and culture; and it is even harder for a man to be an F2."
2005-0016,A Cross-Cultural Study of Grandmothers and Their Role Among Families in Taiwan and the United States,Top Three Papers in Language and Social Interaction,Language & Social Interaction,,,Paper,A Cross-Cultural Study of Grandmothers and Their Role Among Families in Taiwan and the United States,Top Three Papers in Language and Social Interaction,"The study investigates European American and Taiwanese grandmothers folk theories of their role, discipline, and advice giving. Adopting methods that privilege local meanings, we bring grandmothers voices into the conversation about childrearing, thereby contributing to a deeper understanding of cross-cultural nuances in folk theories. In each cultural case, 16 grandmothers of 3-year-olds participated in in-depth interviews that were customized according to local communicative norms. While grandmothers in both contexts were engaged in similar tasks and perceived their role as distinct from that of mothers, their interpretations of these tasks differed. European American grandmothers saw their role as fun-seekers, or limited supporters; they did not see themselves as disciplinarians and found advice giving problematic. Taiwanese grandmothers saw themselves primarily as caregivers and moral guides; they readily disciplined misbehaving grandchildren and advised their daughters-in-law. Results contribute to the consensus that the grandmothers role is culture-specific leading to different understandings of the family unit."
2005-0017,Active Patient Participation: A Dialectical Perspective,Top Papers in Health Communication,Health Communication,,,Paper,Active Patient Participation: A Dialectical Perspective,Top Papers in Health Communication,"Building from the work that has been conducted in the area of active patient participation in healthcare encounters, this paper applies dialectical theory to Sharf, Haidet, & Kroll’s(in press) active patient continua. Relying on dialectical theory’s assumptions of complexity and contradiction, dialectical tensions of acceptance and denial and independence and dependence are described as being embedded in the active patient continua. Data for the analysis come from patients who were participants in four different but related studies at the Houston Center for Quality of Care and Utilization Studies. The struggle between acceptance and denial and between independence and dependence is a necessary and important component to the enactment of provider-patient partnership."
2005-0018,"Activism Revisited: Broadcasting, Culture, and the Public Relations of British NGOs",and Activist Groups in Public Relations,Public Relations,,,Paper,"Activism Revisited: Broadcasting, Culture, and the Public Relations of British NGOs",Issues and Activist Groups in Public Relations,"This paper explores broadcasting and cultural advocacy by British (including Scottish and Welsh) pressure groups operating as non-governmental organizations (NGOs) on national, regional (European) and global platforms. One European group (EURALVA) was catalyzed by VLV, a core British group. These groups engagement with politicians and policy makers, which went beyond formal lobbying, represented a blurring of boundaries between public relations and politics. The majority of these informal and aspiring non-governmental organizations (NGOs) acted on behalf of their respective countries viewing, listening, and digital publics. Other groups, notably those in Scotland and Wales, pursued a broader cultural agenda. The study assessed how strategic relationship building, credible research, media education, and media advocacy were used in isolation and/or in tandem to effect policy and/or programming change. This combined approach reinforced the role of public relations in participatory democracy and the growth of a public sphere developed through the consensus of diverse groups for whom a voice in media content, cultural policies, and other compelling issues was paramount."
2005-0051,Actual Self and Ideal Brand Image: An Application of Self-congruity to Brand Image Positioning,Cognitive and Physiological Approaches to Understanding Advertising,Information Systems,,,Paper,Actual Self and Ideal Brand Image: An Application of Self-congruity to Brand Image Positioning,Cognitive and Physiological Approaches to Understanding Advertising,"The overriding purpose for this paper was to investigate brand image positioning of ten existing and most popular perfume/cologne brands among a young consumer market represented by a college student sample in relation to self-congruity (e.g. actual self image vs. ideal brand image). Our findings indicate significant personality characteristics valued by young consumer market (i.e. trendy and wholesome). This market has healthy self-concept, which was made salient by having self image and ideal brand image positioned in the same optimal region of positioning. Successful brands among this market are those manage to project the congruent personality images as desired by the young consumer market. Significant managerial implications for advertising practitioners and brand managers are also included."
2005-0052,Adaptation to Expressed Liking and Disliking in Initial Interactions: Nonverbal Involvement and Pleasantness Response Patterns,"Adaptation, Liking, and Dialectics",Interpersonal Communication,,,Paper,Adaptation to Expressed Liking and Disliking in Initial Interactions: Nonverbal Involvement and Pleasantness Response Patterns,"Adaptation, Liking, and Dialectics","This experiment applies interaction adaptation theory (IAT) to the tasks of examining individuals' needs, expectations, and goals for initial interactions and predicting their behavioral responses to nonverbal expressions of liking and disliking. Forty-eight adults interacted with participant confederates in an eight-minute problem-solving activity. Participants entered the interactions with moderately high goals for managing the conversation and eliciting positive feedback, and moderately strong expectations for relaxation and pleasantness. Several of these preinteraction goals and expectations predicted participants' initial conversational behaviors, as IAT hypothesizes. Halfway through the interaction, confederates were instructed to communicate nonverbal messages of liking or disliking. In line with IAT, participants largely reciprocated expressions of liking and compensated for expressions of disliking."
2005-0053,Additional Channels in Dutch Television Genres,Audience Research & Researching Audience,Mass Communication,,,Paper,Additional Channels in Dutch Television Genres,Audience Research & Researching Audience,"This study's central question is to what extent television genres in the Netherlands make use of additional channels and in what way these channels are incorporated into programs in terms of interactivity and genre objectives. In addition, we examine whether the availability of additional channels in genres corresponds to audience age. Expert interviews with representatives of Dutch broadcasting organizations and secondary analyses of Audience Research data were conducted. It was found that compared to other genres a) SMS is most frequently added to reality programs, b) email and websites to the information genre, c) teletext to sports programs, and d) merchandizing to childrens' programs. We found additional channels with hardly any influence on genre objectives, but also reinforcement of those objectives and additional channels contributing to the emergence of new genres. In addition, SMS is more often added to programs attracting a younger audience, whereas other additional channels are more often implemented in programs attracting an older than average audience. It was recommended that while implementing additional channels broadcasters should think beyond what is technically possible and feasible to offer to viewers, and pay attention to what typical viewers of genres may wish and in what way they make use of various channels (if at all)."
2005-0054,A Deeper Look at the Economics of Advertiser Support for Television: The Implications of Consumption-Differentiated Viewers and Ad Addressability,Media Economics & Planning,Mass Communication,,,Paper,A Deeper Look at the Economics of Advertiser Support for Television: The Implications of Consumption-Differentiated Viewers and Ad Addressability,Media Economics & Planning,"Commercial addressing technologies are currently being trialed that will make it possible to simultaneously deliver different ads to different viewers. Because the members of the audience for a given program often consume different products, addressable ads promise to substantially increase the revenue generated by television ad time. We present models of competitive television markets with addressable and nonaddressable ads and show that addressability significantly alters strategies for profit maximization and, most likely, equilibrium mixes of programs. We also show that allowing for viewers who are differentiated in their preferences for products can lead to dramatic departures from the equilibria and audience maximization strategies described in the traditional program choice literature. Ironically, the predictions of the traditional models are likely to be more accurate for television markets with addressable ads than for the markets with non addressable ads they were supposed to describe."
2005-0055,Adolescents Online Communication and Their Closeness to Friends,Top Four Papers in Developmental Communication,Instructional & Development Communication,,,Paper,Adolescents Online Communication and Their Closeness to Friends,Top Four Papers in Developmental Communication,"We investigated how social anxiety and loneliness affect adolescents online communication and their closeness to friends. Drawing on a sample of 816 adolescents, we tested an Internet-effects model, which assumes that adolescents perceptions of the Internets effectiveness for developing breadth and depth of communication are significant mediators of the effects of loneliness and social anxiety on (a) online communication and (b) closeness to friends. Our model was largely supported by the data. Closeness to friends was positively predicted by online communication and adolescents perceptions of the Internets effectiveness for developing depth of communication. Social anxiety was a negative predictor of online communication. However, when socially anxious adolescents believed in the Internets effectiveness for developing breadth and depth of communication, they benefited just as much as less socially anxious adolescents from the Internets opportunities to stimulate closeness of friendships."
2005-0056,Adolscents and Communication Regarding Sex and Contraception,Applied Interpersonal Communication: Health Matters,Interpersonal Communication,,,Paper,Adolscents and Communication Regarding Sex and Contraception,Applied Interpersonal Communication: Health Matters,"As adolescent pregnancy, childbearing and STD transmission have continued to be a pervasive problem in American society, it has become more and more critical to understand the nuances of teen sexual behavior. Policy makers, parents, teachers, and community advocates are actively searching and advocating for interventions that will assist young people in reducing the risk associated with sexual involvement. Thus, this research focused on expanding our understanding of adolscents communication regarding sex and contraception.

This study focused on 18- and 19-year old adolescents, seeking to advance our understanding of the theoretical frameworks that may predict or be associated with adolescent sexual and contraceptive communicative behavior. Identity and self esteem were used to investigate these antecedents influence on adolescent sexual and contraceptive communication. In particular, this research examine how these theoretical perspectives affect adolescents communication self efficacy, comfort discussing sex and contraception and perceived communication self efficacy regarding sex and contraception.

This study adds to the research in interpersonal communication and adolescent development by probing what theoretical perspectives may offer a framework for understanding adolescent communication related to sex and contraception; it illustrates that adolescents identity status does increase ones communication efficacy, but the results did not confirm the relationship between identity status and sex and contraceptive discussions. It remains to be seen whether identity status differences influence adolescents communication about their sexual behavior."
2005-0057,Ad Placement Matters: A Psychophysiological Re-examination of Program Context Effects on Emotional Responses and Cognitive Effort to Advertising,Cognitive and Physiological Approaches to Understanding Advertising,Information Systems,,,Paper,Ad Placement Matters: A Psychophysiological Re-examination of Program Context Effects on Emotional Responses and Cognitive Effort to Advertising,Cognitive and Physiological Approaches to Understanding Advertising,"This study aims to offer a clearer explanation of the program context effects on advertising processing by addressing theoretical and measurement weaknesses in previous research. Previous studies on program context effects are mainly based on two branches of theoretical explanationsthe excitation transfer theory and the emotional congruency theory. Each branch of study focuses on one dimension of emotionarousal or valencebut ignores the other. By employing the dimensional theory of emotion and the limited capacity model of mediated messages processing (LCMMMP), both the arousing content and valence of the program are investigated in this study. In addition, the effects of time are also investigated.
Methodologically, previous studies in this area have used either self-report data or secondary data, which is not satisfying for measuring the subtle and continuous emotional responses during program and advertising processing. Psychophysiological measurement may be a more appropriate for precisely pinpointing viewers over time media induced responses, which makes investigation of the time factor possible. In this study, physiological arousal level is accessed by measuring skin conductance responses, valence by measuring facial EMG, and cognitive effort by measuring heart rate."
2005-0058,"Advertising, Nostalgia and the Construction of Commodities as Realms of Memory",Unpacking Cultural Codes of Advertising,Popular Communication,,,Paper,"Advertising, Nostalgia and the Construction of Commodities as Realms of Memory",Unpacking Cultural Codes of Advertising,"The paper explores the use of nostalgia in advertising as a practice that shapes perceptions of the collective past. It offers the idea of the ""realm of memory"" as a means of conceptualizing the way in which advertising represents the past. The positioning of products as constructed realms of memory offers consumers an emotional and immediate connection to an assumed better past. While doing so, advertising also influences the way consumers perceive ""real"" history, ""as it was,"" through all the means that were formerly investigated through collective memory studies: selection, personification, construction through the use of various narrative patterns and more."
2005-0059,A Feminine Footprint: Reconciling Conflicting Evidence in News Media Products,Women and the News,Feminist Scholarship,,,Paper,A Feminine Footprint: Reconciling Conflicting Evidence in News Media Products,Women and the News,"The present article seeks to shed light on one of the most challenging questions in the study of gender and the media: Is the growing entry of women into newsrooms changing the conventional structuring of the media agenda and affecting the patterns of news production and content? For some time now, womens accelerated entry into journalism has attracted the attention of scholars in examining the diverse aspects of the news production process.

According to some arguments, media and journalistic practice, by its very nature and the nature of the work process, is professional and is non-gender. Others claim that the complex organizational apparatus that is engaged in the selection, production and presentation of the news to the public, precludes the influence of any single individual, however senior his or her position in the organization may be. Yet others believe that the increasing entry of women into journalism will radiate changes in the content of the media and the news agenda."
2005-0060,A Feminist Icon in Uncharted Territory: The Public Memory of Gloria Steinem,Feminist Scholarship Interactive Paper Session,Feminist Scholarship,,,Paper,A Feminist Icon in Uncharted Territory: The Public Memory of Gloria Steinem,Feminist Scholarship Interactive Paper Session,"This paper focuses on the public memory of Gloria Steinem as a feminist figurehead. This research is exploring an area in public memory that has traditionally been confined to events instead of people, and seeking what that means for feminism and feminist scholarship as a whole. This paper seeks to explore how the public memory of Gloria Steinem has been constructed, and how that memory is connected to the feminist movement. Drawing from past scholarly work in the area of public memory (Vivian, 2002, & Mandzuik, 2003), this paper looks at how public memory has been constructed and used. This work also explores the concept of competing personas and its effect on the feminist movement, especially in light of third wave feminism."
2005-0061,A Feminist Vision of Empowerment in Alternative Media Practices:,"Empowering Women: Activism, Resistance, Liberation",Feminist Scholarship,,,Paper,A Feminist Vision of Empowerment in Alternative Media Practices:,"Empowering Women: Activism, Resistance, Liberation","Feminist scholarship in communication research often invokes empowerment when discussing issues such as discourse, experience, agency and resistance, with or without specific notes on what it really means. Yet, feminist insistence on the understanding of the complexity of power in guiding our struggles for a fair and equitable society, especially following a Foucauldian analysis, demands a comparable vision of empowerment. This essay intends to enrich the discussion by engaging in conceptualization of a feminist vision of empowerment. It argues for two components: discursive empowerment and experiential empowerment. In the context of feminist praxis, the two types of empowerment converge into an integrated, liberatory feminist struggle that truly empowers the marginalized groups in society. Two instances of visual media practice that claimed to empower women: participatory photography called Photovoice conducted in China and Guatemala respectively are analyzed against the feminist vision of empowerment. Participatory photography features the use of cameras by people who are usually the subjects of the gaze of photojournalism. These photos are then organized into books or exhibitions or websites that reach a much larger, sometimes a global audience. Marginalized groups thus can use simple cameras to tell stories of their needs, their desires, and their realities. This alternative media practice not only gives those voiceless a voice, it also makes this voice visible, in a world where seeing is believing. The paper assesses the projects potentials and limits for a feminist vision of empowerment."
2005-0062,A Fluency of Feeling: Exploring Variations in Culture Rules for Provisions of Social Support,Culture and Social Support,Intercultural & Development Communication,,Intercultural Communication,Paper,A Fluency of Feeling: Exploring Variations in Culture Rules for Provisions of Social Support,Culture and Social Support,"The present study represents an initial effort towards a theoretical model of cultural rules for social support. Specifically, cultural differences (Euro-American and Mainland Chinese) and individual differences (personal distinction and interpersonal belonging) were analyzed with regard to rule structures that govern the importance accorded to interactive support goals and the evaluation of effective social support messages. In terms of providing effective support, the link between culture and self appears to be a matter identifying with a sense of personal distinction and wider societal values of individualism and collectivism. The interaction between individual differences and culture contributes to an enhanced motivation for providing effective support. In contrast, cultural institutions in and of themselves, contribute to an understanding of effective message strategies. Limitations and future directions for cross-cultural research are discussed."
2005-0063,A Frame Analysis of the Russian Television Coverage of the Coming of the Iraq War,Public Opinion in War Time,Mass Communication,,,Paper,A Frame Analysis of the Russian Television Coverage of the Coming of the Iraq War,Public Opinion in War Time,"This paper explores how Russian mass media covered the coming of the 2003 Iraq war. The main focus of this work is what type of frames dominated the Russian television coverage of the coming of the war. This should shed some light on the pattern of political thinking and on the criteria used by the Russians when they decided to oppose the 2003 war in Iraq. There are four dominant frames identified in the works of three prominent Russian TV commentators. They are the frames of hypocrisy, low value of any partnership with the U.S., the geopolitical and global security frame, and the frame of the Russian security interests. It is suggested that the reason for the appearance of all these frames on Russian TV is the actual set of international policies conducted by the American government in the world in general and in relation to Russia in particular."
2005-0064,A French Aristocrat and a Feminist Visit the Bronx: A Normative Theory of Two Community Newspapers,Feminist Scholarship Interactive Paper Session,Feminist Scholarship,,,Paper,A French Aristocrat and a Feminist Visit the Bronx: A Normative Theory of Two Community Newspapers,Feminist Scholarship Interactive Paper Session,"This paper proposes a normative theory of the local, community newspaper as a public space where difference is recognized using Iris Marion Youngs image of the urban city. In following with Youngs idea of special representation for oppressed and disadvantaged social groups, the theory is expanded to include the ethnic newspaper. The paper draws on theories of democracy proposed by Young and Alexis de Tocqueville. To explore this theory the community of Riverdale is used as a case study. The paper concludes by asking whether a newspaper can truly be thought of as a public space, and by looking at the role of the community newspaper in an increasingly centralized democracy."
