Paper ID,Title,Session,Session Division,Individual Division,Session SubDivision,Sumission Type,Title to Check,Session to Check,Abstract
2006-0014,A Comparison of Dialogue and Focus Group Procedures for Influencing Publics Views Toward Controversial Science,fluence in Interpersonal Relationships,Interpersonal Communication,,,Paper,A Comparison of Dialogue and Focus Group Procedures for Influencing Publics Views Toward Controversial Science,Influence in Interpersonal Relationships,"The purpose of the paper is to examine the ways in which individuals attitudes change or remain stable as a result of discussing controversial science issues in groups. Specifically, we report a study in which members of the public engaged in dialogue with scientists about human biotechnology, or HBTand in which we examined the effects of these experiences on participants attitudes. In contrast to an earlier study on discussion of HBT within focus groups, we found that participating in dialogue groups had a strong and significant positive effect on participants general attitudes toward HBT science and scientists. Similarly to the focus group study, participants reported increased communicative self-efficacy after the group experience. Implications for practice and research are discussed."
2006-0015,A Comparison of Election News Coverage in Sweden and the United States,Election Coverage around the World,Political Communication,,,Paper,A Comparison of Election News Coverage in Sweden and the United States,Election Coverage around the World,"This study compared the news coverage of election campaigns in two Swedish and two U.S. newspapers. Based on framing theory, the results from the content analysis show that the strategic game metaframe was used more frequently by the U.S. newspapers while the issue metaframe was more common for the Swedish newspapers. U.S. articles were also more likely to use the horse race and political strategy frames. While U.S. coverage was predominantly descriptive in focus, Swedish coverage offered more analysis and interpretation of the election campaign."
2006-0016,A Comparison of Self-Categorization and Spiral of Silence Explanations for Speaking Out (Top Three Paper),How We Use Categorization to Understand Behavior,Intergroup Communication,,,Paper,A Comparison of Self-Categorization and Spiral of Silence Explanations for Speaking Out (Top Three Paper),How We Use Categorization to Understand Behavior,"Self-Categorization and spiral of silence predictions for speaking out are compared. Student participants (N = 60) indicated their levels of fear of isolation and the degree to which they considered themselves prototypical of their university before being presented with a high or low threat inducement (a proposed campus ban on alcohol consumption). A three way interaction was found on both perceived threat and willingness to speak out. For participants low on fear of isolation, those low on prototypicality were more willing to speak out under the high than low threat inducement. For participants high on fear of isolation, those low on prototypicality were more willing to speak out under the high than low threat inducement. Highly prototypical group members were high in willingness to speak out independent of fear of isolation and threat. Perceived threat mediated the effect of prototypicality on willingness to speak out. It is concluded that the findings are most consistent with self-categorization theory."
2006-0017,A Content Analysis of Social Groups in Primetime Spanish-Language Television,Media and Culture,Mass Communication,,,Paper,A Content Analysis of Social Groups in Primetime Spanish-Language Television,Media and Culture,"The audience for Spanish-language television has been increasing at a rapid pace. Indeed, Univision frequently outranks at least one of the major U.S. networks among young adult viewers and captures more Latino audience members than any of the major U.S. networks. However, little is known about the type of depictions a viewer is likely to encounter on Spanish-language TV. As such, the present study assesses the frequency and nature of representations of age, class, and gender in the 2004 primetime, Spanish-language television season. The implications of social identity theory were applied as a framework for understanding the potential influence of exposure to these images on Latino audience members."
2006-0018,A Couple of White Guys Sittin Round Talkin: Representations of Masculinity and Commodification in Frasier,Popular Communication and Gender,Popular Communication,,,Paper,A Couple of White Guys Sittin Round Talkin: Representations of Masculinity and Commodification in Frasier,Popular Communication and Gender,"A transition in the portrayal of masculinity on television can be examined within the context of the new man, an idea that emerged in 1970s as a reaction to feminist and other social movements. The television image of the new man was one that embraced and fostered emotional relationships with men and women. The leading male characters on the situation comedy Frasier are examples of the new man paradigm. Frasier is progressive in many ways with its portrayal of the new man, yet problematic in other ways. The paper examines Frasier with a focus on how the image of the new man is portrayed and parodied in the program. As it will be discussed, the symbolic construction of the new man on Frasier is connected to ideologies of consumerism and conspicuous consumption of white-collar viewers."
2006-0019,A Critical Interrogation of Cultural Globalization and Hybridity: Considering Chinese Martial Arts Films as an Example,Communications Globalization and Hybridity,Intercultural & Development Communication,,International & Development Communication,Paper,A Critical Interrogation of Cultural Globalization and Hybridity: Considering Chinese Martial Arts Films as an Example,Communications Globalization and Hybridity,"Contemporary social and cultural theories contain polarized ideas on whether culture is becoming increasingly homogeneous or heterogeneous under the scenario of globalization. Among the approaches supporting heterogeneity, hybridity is a crucial and appealing theory. Hybridity results from the mixing of phenomena that are held to be different and separate. It is used in defining todays globalization, particularly cultural and media globalization. However, because of its postmodern and deconstructionist qualities, the concept of hybridity is not stable and not easily incorporated into politics and policy-making, and is sometimes accused of becoming a theoretical tool to rationalize modernity, global capitalism and global consumerism.
This paper questions the fundamental assumptions of the concept of media hybridity: that media hybridity displays diversity, democracy, localism and interdependence; and I hope to reconstruct a critical notion of hybridity. I investigate these assumptions about hybridity by researching the production strategies and content of media hybridity. I analyze the five market strategies for producing media hybridity, including transculturation, cultural appropriation, re-localization, de-localization, and High Concept, and I compare the content of three main types of media hybridity seen in contemporary martial arts films as compared with traditional martial arts films, to see the influence of media hybridity. Investigating the real face and influence of media hybridity is quite crucial because it can helps us better understand the actual process by which globalization happens and understand how other/global cultures enter our/local lives and then become part of our/local culture."
2006-0020,A Cross-Cultural Comparison of Communication Patterns and Conflict Between Young Adults and Parents,Generation and Age Differences in Intercultural Communication,Intercultural & Development Communication,,Intercultural Communication,Paper,A Cross-Cultural Comparison of Communication Patterns and Conflict Between Young Adults and Parents,Generation and Age Differences in Intercultural Communication,"Young adults in Japan (N = 124) and in the United States (N = 136) completed surveys including Ritchie & Fitzpatricks (1990) revised family communication patterns instrument as well as the Rahims (1983) conflict styles scale modified for the family setting. A cross-cultural comparison revealed that diverging distributions of family types in the two different countries. The consensual family type was most common in the United States, while laissez-faire family type was most common in Japan. We found significant between group differences among all four family types on the likelihood to use five conflict strategies. The consensual family was associated with the young adults selection of the integrative strategy in dealing with conflict with parents. Young adults in the protective family indicated use of the avoidance strategy than those in other family types, while the pluralistic family was most strongly associated with the competitive strategy. Possible explanations based on the two dimensions of family communication patterns as well as cultural variabilities are provided."
2006-0021,A Cross-Cultural Comparison of Perceptions and Uses of Mobile Telephony,The Mobile Phone: Negotiation of Meanings in Public Places across Cultures,Communication and Technology,,,Paper,A Cross-Cultural Comparison of Perceptions and Uses of Mobile Telephony,The Mobile Phone: Negotiation of Meanings in Public Places across Cultures,"Drawing from the theoretical orientation of Apparatgeist (Katz and Aakhus, 2002), this study explored cultural similarities and differences in perceptions and uses of mobile telephony. A sample of college students from Japan, Sweden, Taiwan, Hawaii, and the U.S. Mainland were surveyed to assess (1) perceptions of the mobile phone as fashion, (2) attitudes about mobile phone use in public settings, (3) use of the mobile phone for safety/security, (4) use of the mobile phone for instrumental purposes, and (5) use of the mobile phone for expressive purposes. Results indicate some differences and several similarities among the cultural groupings and help lay the groundwork for future research and theory building."
2006-0022,"A Cross-National and Double-Sided Test of Spiral of Silence Theory: Culture, Governmental Form & Personality",Political Communication Interactive Paper Session,Political Communication,,,Paper,"A Cross-National and Double-Sided Test of Spiral of Silence Theory: Culture, Governmental Form & Personality",Political Communication Interactive Paper Session,"The past Spiral of Silence studies investigated people's outspokenness mostly on micro level, failing to integrate into a single model three crucial independent variables-culture, governmental form, and personality. Their measurement of dependent variable had the theoretical flaw that only considers the respondent's reaction when in the minority but missed the situation when in the majority. Furthermore, the past Spiral of Silence studies did not distinguish the conformity pressures in a unanimous opinion environment from those in a non-unanimous one, nor solve the cross-national comparability problem on the topic issue selection. This study refines the conceptualization of Spiral of Silence and designs a new measurement considering the respondent's reactions both when in the minority and when in the majority, distinguishes unanimous and non-unanimous environments, introducing an an unspecified controversial issue to solve the cross-national comparability problem, and integrates culture, governmental form, and personality into the research model by using a cross-national and multi-level comparison method."
2006-0023,A Cross-National Examination of Third-Person Perception About Ideal Body Image,Advances in Effects Research I,Mass Communication,,,Paper,A Cross-National Examination of Third-Person Perception About Ideal Body Image,Advances in Effects Research I,"This study compares third-person effects about body image for Caucasian women in U.S. and for Chinese women in Singapore. We find that college women in both the U.S. and Singapore tend to perceive greater media effects of ideal body images in magazine ads on their peers than on themselves. The race of the media models and the race of college women does not affect the college womens perceptions of media effects on themselves or on their peers. Only individual differences such as ones self-evaluation or self-esteem moderate the magnitude of third-person perception. Our analyses also shows that a persons perception of the media content and their perception of the benefit likelihood of media influence are two distinct concepts, each related to the magnitude of third-person perception."
2006-0024,A Cultural Approach to the Study of Mediated Citizenship,Political Communication Top Faculty Papers,Political Communication,,,Paper,A Cultural Approach to the Study of Mediated Citizenship,Political Communication Top Faculty Papers,"The study of media and politics is dominated by three central but flawed assumptions: that news is the primary and proper sphere of political communication; that the most important function of media is to supply citizens with information; and that political engagement must necessarily be associated with physical activity. These assumptions are based on an instrumental orientation toward media. This article advances, instead, a cultural approach to the study of mediated citizenship, one that foregrounds the intimate role that media play in the daily lives of citizens. It argues four primary propositions: that people employ a complex ensemble of media that have extensive reach into our lives as citizens and consumers; that communication mediums have differential effects on the meanings that come to constitute political reality; that we must look beyond information acquisition as the primary reason for how and why citizens employ political media, and instead see the integrative aspects of media usage; and that we exist in a culture of mediated engagement with politics that structures our political lives in unprecedented ways. Together, these propositions suggest that scholars need to account for the central role of mediated politicsin all its manifestations and formsin the constitution of citizens understanding of the state and their relationship to it."
2006-0025,Acupuncture in the United States: Uses and Implications for a Holistic Speech Code,"Otherness and Similitude: Construction, Adjustment, and Conciliation",Language & Social Interaction,,,Paper,Acupuncture in the United States: Uses and Implications for a Holistic Speech Code,"Otherness and Similitude: Construction, Adjustment, and Conciliation","Acupuncture is a 3000 year old health care system that within the last 40 years has received quite a bit of scholarly and popular attention in the United States. Simultaneously, in the last 40 years, the dominant biomedical tradition in the U.S. has been critiqued while alternative holistic health models have emerged. This article is based on fieldwork conducted in Seattle, Washington in a small acupuncture clinic and in a variety of other acupuncture classes and settings. Using an ethnography of communication perspective, I present a holistic speech code and argue that it is used as a translational device for presenting acupuncture to new clients. Given the current health situation, the holism of acupuncture makes sense and is easily accepted. However, because holism is often depicted as biomedicines alternative, a holistic speech code also works to create sometimes unrealistic practitioner-client relationships. The holistic speech code and the social realities implicated in the use of this code work to construct a unique form of American acupuncture."
2006-0026,A Discursive Approach to Cognitive Dissonance: Making Sense of Socio-Political Change in Northern Ireland,Performing Identities,Language & Social Interaction,,,Extended Abstract,A Discursive Approach to Cognitive Dissonance: Making Sense of Socio-Political Change in Northern Ireland,Performing Identities,"Context

Northern Ireland (NI) is traditionally polarised along ethno-religious/political lines. However, it was hoped that devolution and a pioneering peace process would increase cultural plurality and integration. This does not appear to have happened. Indeed, some research suggests that community divisions have intensified during the peace process (e.g. Shirlow, 2005).

Aims/Approach

We examine one aspect of this process within a discursive framework. Specifically, we consider cognitive dissonance management, from a rhetorical and interactional perspective (Billig, 1996, Neuman&Tabak, 2003), in order to understand everyday sense-making in post-devolution NI. Within this socio-political context, traditional stances/identifications are continually challenged. We examine how such processes are negotiated at the micro-level of talk/interaction, and, specifically, how cognitive dissonance is managed such that habitual alignments are bolstered/maintained.

Data/Discussion

The data are drawn from Protestant/unionist and Catholic/nationalist group discussions of devolution in NI. We focus on one particularly contentious topic; the reformed police service of NI. In reconfiguring this issue, the participants utilise various discursive strategies to establish consistency with their traditional community stance(s). In so doing, they reinterpret, but ultimately reaffirm, existing community divisions, within the devolved context. We discuss (a) how cognitive dissonance is managed in real-life interaction, and (b) how this process relates to wider societal and political contexts in NI.

Billig,M. (1996). Arguing and Thinking (2nd edition). Cambridge: CUP.
Neuman,Y. and Tabak,I. (2003). Inconsistency as an interactional problem. Journal of Psycholinguistic Research 32:251-67.
Shirlow,P. (2005). Segregation, ethno-sectarianism and the new Belfast. In M. Cox et al. (eds.) A Farewell to Arms? Manchester: MUP."
2006-0027,"Adolescent Movie Preferences, Mental Health, and Temperament",Examining Individual Responses to Information Processing,Information Systems,,,Extended Abstract,"Adolescent Movie Preferences, Mental Health, and Temperament",Examining Individual Responses to Information Processing,"A secondary analysis of data from a large-scale intervention study was used to evaluate associations between movie preferences and mental health and temperament measures obtained from middle school students. Preliminary findings suggest that preference for rated R movies and preference for violent movies relates to issues surrounding rule-breaking behavior, defiance, and self-regulation. Preference for sexuality in movies marginally related to attention issues. The findings provide initial evidence for examining media preferences in light of consistent behavioral patterns and mental health states, in addition to more traditional mood management investigations."
2006-0028,Adolescents' Exposure to Online Sexually Explicit Material and Recreational Attitudes Towards Sex,The Uses and Effects of Media among Adolescents,Instructional & Development Communication,,,Paper,Adolescents' Exposure to Online Sexually Explicit Material and Recreational Attitudes Towards Sex,The Uses and Effects of Media among Adolescents,"Previous research has largely ignored the implications of adolescents exposure to online sexually explicit material for their sexual attitude formation. To study whether adolescents exposure to sexually explicit material on the internet is related to recreational attitudes towards sex, we conducted a representative online survey among 472 Dutch adolescents aged 13-18. In line with an Orientation 1  Stimulus  Orientation 2  Response (O1-S-O2-R) model, we found a pattern of multiple mediated relationships. Male adolescents (O1) used online sexually explicit material (S) more than female adolescents, which led to a greater perceived realism of such material (O2). Perceived realism (O2), in turn, mediated the relationship between exposure to online sexually explicit material (S) and recreational attitudes towards sex (R). Exposure to online sexually explicit material, then, is related to more recreational attitudes towards sex, but this relationship is determined by adolescents gender and the extent to which they perceive online sexually material as realistic."
2006-0029,Adolescent Smoking Networks: The Effects of Social Fitness and Constraint on Future Smoking,"EX, SEX, SEX...and Other Important Things",Health Communication,,,Paper,Adolescent Smoking Networks: The Effects of Social Fitness and Constraint on Future Smoking,"SEX, SEX, SEX...and Other Important Things","The present research utilizes structural equations modeling to simultaneously investigate the role of influence and selection on adolescent smoking behavior over two time periods. The extant literature on peer influence and selection in smoking behavior of adolescents is reviewed and hypotheses are advanced in accord with the network theories of evolution and homophily. Findings suggest that the proportion of in-degree and out-degree to intending smokers both uniquely predict adolescent smoking behavior, even when prior smoking is controlled."
2006-0030,Adolescents Perceptions of Canadian Cigarette Package Warning Labels: Investigating the Effects of Message Framing.,Message Framing in Antismoking Campaigns,Health Communication,,,Paper,Adolescents Perceptions of Canadian Cigarette Package Warning Labels: Investigating the Effects of Message Framing.,Message Framing in Antismoking Campaigns,"Two hundred ten high school students participated in an experiment examining the effects of graphic warning messages on cigarette packages. Adolescents were randomly assigned to one of three message framing conditions (i.e., loss-framed, gain-framed avoidance, and gain-framed benefits), and then completed a questionnaire measuring attitudes, perceptions of health risks, perceived effectiveness of the warning labels, and behavioral intentions. Results indicate that adolescents had more favorable attitudes toward the loss-framed warnings, and perceived them as being more effective than the gain-framed warnings. Further, underage smokers exposed to the loss-framed version featuring decaying teeth were significantly less likely to have intentions to smoke in the future. These results indicate that loss-framed warning labels can motivate adolescent smokers to quit, and can reinforce behavioral intentions among non-smokers. The theoretical and practical implications of these findings for health communication researchers and practitioners are discussed."
2006-0031,"Advocate, Exit, or Something Else? Doing the ""Right Thing"" in PR When Organizations Misstep",Public Relations Advocacy and Activism,Public Relations,,,Paper,"Advocate, Exit, or Something Else? Doing the ""Right Thing"" in PR When Organizations Misstep",Public Relations Advocacy and Activism,"This study draws from PR role theory, professional ethics, and Hirschmans (1970) theory of dissidence to examine dissent practices in public relations. As part of a larger online survey, 707 practitioners responded to the question, ""What does it mean to do the right thing in public relations when management is making decisions that you believe are inappropriate?""
Respondents overwhelmingly embraced the use of advocacy for changing inappropriate decisions. However, respondent answers varied according to the extent of advocacy, the selection of advocacy strategies, and the influence of loyalty and other factors on their decision making. Seven types of public relations advocates were identified. The research contributes to a thin literature on dissent in PR and supports the importance of managerial advocacy in excellent public relations practice."
2006-0032,A Dynamic and Integrated Model of Motivations of Media Use and Media Effects in Political Communication,Rethinking Media Use and Media Effects,Political Communication,,,Paper,A Dynamic and Integrated Model of Motivations of Media Use and Media Effects in Political Communication,Rethinking Media Use and Media Effects,"The current research paradigm on media effects is characterized by conditional models of media effects which assign an influential role to mass media in how people perceive the (social) world, while also emphasizing an active audience whose members can select media and their content, direct their attention to specific parts of the information and are co-creating the media effect as much as it is induced by mere exposure itself.
This paper focuses on the role of motivations of media usage in the emergence of media effects, but also outlines an approach for developing a more comprehensive understanding of media effects. The proposed model is based on three approaches to motivations in media effects research: the uses and gratifications research tradition, the cognitive mediation model, and (dynamic-)transactional approaches to media effects. Four different roles for motivations are identified: causes of selection of media content, causes of media effects mediated by cognitive information-processing, moderators of the impact of media content on recipients, and motivations as direct and indirect effects of media exposure. The different approaches and roles of motivations are then integrated into a dynamic model of media effects with reciprocal implications for the motivations. The purpose of the model is to enhance the theoretical understanding of motivations and their relationship to media effects as well as outlining empirical approaches to studying these processes. In addition, the model is a start to develop a more integrative understanding of media effects."
