Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
2005-1151,Play it Again Uncle Sam: Ritual and Imagination in American Dreams,1,1,Rossie Hutchinson,University of Michigan
2005-1201,Privacy and Smart Cards: Hong Kong and Ontario,2,1,Stuart Bailey,Univ. of Toronto
2005-1201,Privacy and Smart Cards: Hong Kong and Ontario,2,2,Nadia Caidi,U of Toronto
2005-1251,"Redefining ""Local"" in Radio News: The Impact of Consolidation on Coverage",1,1,Lee Hood,
2005-1301,"Risk, Issues and Precaution in Late Modernity: Sustainable Public Relations on a Global Scale.",3,1,Juliet P. Roper,U of Waikato
2005-1301,"Risk, Issues and Precaution in Late Modernity: Sustainable Public Relations on a Global Scale.",3,2,Eva Collins,University of Waikato
2005-1301,"Risk, Issues and Precaution in Late Modernity: Sustainable Public Relations on a Global Scale.",3,3,Margalit Toledano,
2005-1351,Sex Versus Gender: Questioning the Dialogue,1,1,Claire Sullivan,University of Maine
2005-1401,Still the Middle Way. A Study of Political Communication Practices in Swedish Election Campaigns.,1,1,Lars W. Nord,Mid Sweden University
2005-1451,Television Activity Among African Americans: Is it Related to Perceptions of Outgroup Vitality?,1,1,Jessica R. Abrams,California Polytechnic State U
2005-1501,The Construction of Work in Online Career Sites of Fortune 500 Companies,2,1,Jun Young,University of Washington
2005-1501,The Construction of Work in Online Career Sites of Fortune 500 Companies,2,2,Kirsten A. Foot,U of Washington
2005-1551,The Emotional Life of the News: a Mediational Perspective on News Consumption and its Relevance for Political Communication,1,1,Mirca Mirca Madianou,University of Cambridge
2005-1601,The Israeli Peace Movement as framed by the NYTimes (1984-2002),1,1,Avi Santo,U of Texas - Austin
2005-1651,The Portrayals of Minority Characters in Entertaining Animated Children's Programs,1,1,Siobhan Smith,Louisiana State University; University of Arkansas at Pine Bluff
2005-1701,The Sequencing of Two Communication Models within Change: An Empirical Comparison of Two Organizations,2,1,Jennifer Frahm,Queensland U of Technology
2005-1701,The Sequencing of Two Communication Models within Change: An Empirical Comparison of Two Organizations,2,2,Kerry Ann Brown,Queensland U of Technology
2005-1751,Towards Conceptualizing Suspension of Disbelief for Communication Research,2,1,Saskia Boecking,U of Zurich
2005-1751,Towards Conceptualizing Suspension of Disbelief for Communication Research,2,2,Werner Wirth,University of Zurich
2005-1801,"Using a Feminist Human Rights Framework to analyze HIV/AIDS, Communication and the Uighur Minority in China",1,1,Alexa M. Dare,U of Denver
2005-1851,Whats That I Hear?: The Use of Popular Music in Teenage Television Drama,1,1,Heather Muse,Temple University
2005-1901,Youre Nobody til Somebody Loves You: Seeking Esteem and Commitment Through Manipulation,3,1,Jennifer Kam,San Diego State University
2005-1901,Youre Nobody til Somebody Loves You: Seeking Esteem and Commitment Through Manipulation,3,2,Brian H. Spitzberg,San Diego State U
2005-1901,Youre Nobody til Somebody Loves You: Seeking Esteem and Commitment Through Manipulation,3,3,Scott Roesch,San Diego State University
