Year,Session Type,Session Title,Division/Unit,Chair Name,Chair Affiliation
2014,Paper Session,"Relationship, Engagement, and Nonprofit Public Relations",Public Relations,Juan-Carlos Molleda,U of Florida
2014,Paper Session,Appeals to Young People Through Advertising and Programming,Children Adolescents and Media,,
2014,Paper Session,Advances in Family Communication,Interpersonal Communication,Tamara D. Afifi,U of Iowa
2014,Paper Session,Team Performance in Online Environments,Communication and Technology,Kekeli Kwabla Nuviadenu,Bethune-Cookman U
2014,Paper Session,Technology and Health Communication,Health Communication,Laura A. Gibson,University of Pennsylvania
2014,Paper Session,Pandemics and the Media,Health Communication,Hyunmin Lee,Saint Louis U
2014,Paper Session,Media Systems and Media Markets: Effects on Journalism,Journalism Studies,Valerie Belair-Gagnon,Yale Law School
2014,Paper Session,A World of Good: Diversity and Culture in Organizational Communication,Organizational Communication,Kumi Ishii,Western Kentucky University
2014,Paper Session,Government Involvement in Communication Technology Networks,Communication and Technology,Hyunjin Seo,U of Kansas
2014,Paper Session,Cultivation Studies in Mass Communication,Mass Communication,Richard Wayne Huskey,University of California Santa Barbara
2014,Paper Session,Identity and Stereotypes in Mass Media,Mass Communication,Dana Mastro,UCSB
2014,Paper Session,Diverse Media Issues in Intercultural Communication,Intercultural Communication,Che Baysinger,Kaplan University
2014,Paper Session,Bodies in Place: Mediated Identities and Intersections,Popular Communication,,
2014,Paper Session,"Two Faces of Digital Capitalism: Class, Charisma, Discourse, and Participation","Philosophy, Theory and Critique",Dan Leopard,Saint Mary's College of California
2014,Paper Session,Engagement and Public Relations,Public Relations,Lee Edwards,U of Leeds
2014,Paper Session,"Experiencing Risk, Regret, and ""Reality"" via Social Networking Sites",Children Adolescents and Media,,
2014,Paper Session,Media Forms as Forms of Conflict: History in the Making,Communication History,Richard K. Popp,U of Wisconsin - Milwaukee
2014,Paper Session,Top Papers in Health Communication,Health Communication,Mohan Jyoti Dutta,National U of Singapore
2014,Paper Session,The Tools for a Good (Research) Life: Advances in Game Studies Theory and Method,Game Studies,Rachel Kowert,U of Münster
2014,Paper Session,"Cognitive Processing and News: Knowledge, Opinion, and Emotion",Journalism Studies,Kjerstin Thorson,University of Southern California
2014,Paper Session,As Good as Gold: Top 4 Papers in Organizational Communication,Organizational Communication,Craig R. Scott,Rutgers U
2014,Paper Session,Constraint Removal Effects in Social Media,Communication and Technology,Ashley Sanders-Jackson,Stanford Prevention Research Center
2014,Paper Session,Privacy Management of Social Media Users,Communication and Technology,Jenifer Sunrise Winter,University of Hawaii at Manoa
2014,Paper Session,"Media Entertainment: Selective Exposure, Consumption, and Effects",Mass Communication,Peter Vorderer,U of Mannheim
2014,Paper Session,Media Use and Political Debate,Mass Communication,Lance Holbert,Temple U
2014,Paper Session,Regulatory Models and Cultures in New and Convergent Media,Communication Law & Policy,Andrew Kenyon,U of Melbourne
2014,Paper Session,"Visual Politics: Posters, Cartoons, and Political Depictions in Visual Communication",Visual Communication Studies,Michael S. Griffin,Macalester College
2014,Paper Session,Top Papers in Intercultural Communication,Intercultural Communication,Hee Sun Park,Korea U
2014,Paper Session,"Sounds Global: Music, Politics, and Discourse",Popular Communication,Patrick Burkart,Texas A&M U
2014,Paper Session,Crisis Communication Effects on Stakeholders,Public Relations,Shari R. Veil,University of Kentucky
2014,Paper Session,Developing Views and Behaviors Regarding Sex and Romance,Children Adolescents and Media,,
2014,Paper Session,Train Your Brain: The Effectiveness of Goal-Oriented Serious Games,Game Studies,Andy Boyan,Albion College
2014,Paper Session,The Past Brought Into the Present: Collective Memory and Journalism,Journalism Studies,Keren Tenenboim-Weinblatt,Hebrew U of Jerusalem
2014,Paper Session,Relationship Maintenance on Facebook,Communication and Technology,Anne Oeldorf-Hirsch,University of Connecticut
2014,Paper Session,Political Participation and Social Media,Communication and Technology,Weiyu Zhang,National U of Singapore
2014,Paper Session,Staying Connected: Interacting With Popular Culture Through Social Media,Mass Communication,Ronald E. Rice,U of California - Santa Barbara
2014,Paper Session,Media Violence and Aggression,Mass Communication,,
2014,Paper Session,"Assessing Internet Access: Content, Connection, and Speed",Communication Law & Policy,Seamus Simpson,U of Salford
2014,Paper Session,Industrial Histories of New Media,Popular Communication,Jennifer Petersen,U of Virginia
2014,Paper Session,"Noise, Memory, Multiculturalism: Mediation in Postcolonial Spaces","Philosophy, Theory and Critique",Nadia Kaneva,University of Denver
2014,Paper Session,Public Versus Corporate Discourses on Environmental Issues,Public Relations,Katerina Tsetsura,U of Oklahoma
2014,Paper Session,Critical Examinations of Drama and Media Production,Mass Communication,J. Michael Mangus,University of California
2014,Paper Session,Sexy Topics in Interpersonal Communication,Interpersonal Communication,Amanda Denes,University of Connecticut
2014,Paper Session,Social Influence and Health Outcomes,Health Communication,Kevin B. Wright,George Mason University
2014,Paper Session,"Subjectivity, Morality, and Agency in Conversation, Radio Phone-ins, 9/11 Interactions, and Qualitative Research",Language & Social Interaction,Alena L. Vasilyeva,Minsk State Linguistic U
2014,Paper Session,Journalists' Role Conceptions and Journalistic Cultures,Journalism Studies,Claudia Mellado,U of Santiago
2014,Paper Session,"Indian Media, Culture, and Globalization",Global Communication and Social Change,Rashmi Luthra,U of Michigan - Dearborn
2014,Paper Session,News and Networks: Journalists' Social Media Use,Journalism Studies,Amy Schmitz Weiss,San Diego State U
2014,Paper Session,Good to Make Your Acquaintance: Networks and Collective Action Within and Between Organizations,Organizational Communication,Catrin E. Johansson,Mid Sweden U
2014,Paper Session,Self Disclosure in Social Media,Communication and Technology,Irina A. Shklovski,IT U of Copenhagen
2014,Paper Session,Threats Responses on Social Media,Communication and Technology,Burcu S. Bakioglu,Lawrence U
2014,Paper Session,Audience and Advertising in Social Media,Mass Communication,Maya Mazor,University of Haifa
2014,Paper Session,Narrative Processes in Media,Mass Communication,Jonathan Cohen,U of Haifa
2014,Paper Session,The Challenge of Finding the Good Life: Retention and Learning Both In and Out of the Classroom,Instructional & Developmental Communication,Sarah F. Rosaen,U of Michigan - Flint
2014,Paper Session,Intergroup or Alcohol (but Not Intergroup With Alcohol),Interpersonal Communication,Jessica Gasiorek,University of Hawaii at Manoa
2014,Paper Session,The Press’ Labor of Listening and its (Neoliberal) Freedom,"Philosophy, Theory and Critique",Andreas Hepp,U of Bremen
2014,Paper Session,Storytelling and Corporate Narratives,Public Relations,Michael A. Mitrook,U of South Florida
2014,Paper Session,"News Media, Advertising, and Diversity",Ethnicity and Race in Communication,Federico Subervi,Kent State U
2014,Paper Session,Disciplinary Explorations,Communication History,Jefferson D. Pooley,Muhlenberg College
2014,Paper Session,Human <~> Machine Communication,Communication and Technology,Younbo Jung,Nanyang Technological U
2014,Paper Session,HIV Message Framing and Risk Perceptions,Health Communication,Kevin B. Wright,George Mason University
2014,Paper Session,"Ethnographic and Narrative Perspectives on Identity and Culture in Chinese, French, and Bulgarian Interactions",Language & Social Interaction,David Boromisza-Habashi,U of Colorado
2014,Paper Session,Reconsidering the Role of News in Democratic Governance,Journalism Studies,Kimberly Meltzer,Georgetown U
2014,Paper Session,"Middle East and North African (MENA) Media and Public Communications After the ""Arab Spring""",Global Communication and Social Change,Joe F. Khalil,Northwestern U -Qatar
2014,Paper Session,What's Changed? Trends in News Content,Journalism Studies,Helle Sjovaag,University of Bergen
2014,Paper Session,"So Far, So Good, Part 1: Organizational Communication Research Escalator",Organizational Communication,,
2014,Paper Session,Multitasking With Technology,Communication and Technology,Margaret Elizabeth Young,UW Information School
2014,Paper Session,Network Analyses of Online Message Content,Communication and Technology,Porismita Borah,Washington State University
2014,Paper Session,Methodological Innovations in Mass Communication Research,Mass Communication,Michael Scharkow,U of Hohenheim
2014,Paper Session,"Visual Design, Visual Complexity, and Impact",Visual Communication Studies,Shahira S. Fahmy,U of Arizona
2014,Paper Session,"Forgiveness, Happiness, Mindfullness, and Charity",Interpersonal Communication,John Patrick Crowley,Colorado State University
2014,Paper Session,"Surveillance, Narrative, & Expert Systems in the Digital Era","Philosophy, Theory and Critique",Thomas Streeter,U of Vermont
2014,Paper Session,Public Relations Identity and Professionalism,Public Relations,Winni Johansen,Aarhus University
2014,Paper Session,"Environmental Campaigns: Effects, Rhetoric, and Mobilization",Environmental Communication,Charlotte Ryan,U of Massachusetts - Lowell
2014,Paper Session,"Migration, Minorities, and Diasporas",Ethnicity and Race in Communication,LeiLani Nishime,U of Washington
2014,Paper Session,Reflections on Methodology: Yesterday and Today,Communication History,David W. Park,Lake Forest College
2014,Paper Session,Issues in Provider-Patient Interaction Research,Health Communication,Ashley P. Duggan,Boston College
2014,Paper Session,Communication and Health-Related Stigma Management,Health Communication,Kevin B. Wright,George Mason University
2014,Paper Session,Transnational Media and Cultural Hybridity,Global Communication and Social Change,Joe F. Khalil,Northwestern U -Qatar
2014,Paper Session,The National and the Global in Communication Research,Global Communication and Social Change,Terry Flew,Queensland U of Technology
2014,Paper Session,"So Far, So Good, Part 2: Organizational Communication Research Escalator",Organizational Communication,,
2014,Paper Session,End-Stage Interpersonal Relationships on Facebook,Communication and Technology,Stephanie A Robbins,Ohio University
2014,Paper Session,Social Network Analysis of Social Media,Communication and Technology,Sujin Choi,Kookmin University
2014,Paper Session,Persuasion in the Media,Mass Communication,David R. Ewoldsen,Ohio State U
2014,Paper Session,"Policing, Managing, and Censoring the Self in the Digital Era",Communication Law & Policy,Nora A Draper,University of Pennsylvania
2014,Paper Session,"Identity Issues, Discussions, and Debates in Intercultural Communication",Intercultural Communication,Che Baysinger,Kaplan University
2014,Paper Session,Instructor Variables in the Scholarship of Teaching and Learning,Instructional & Developmental Communication,,
2014,Paper Session,Perspectives on Interpersonal Communication From Around the Globe,Interpersonal Communication,Jin Liu,Cornell U
2014,Paper Session,"Liberalism, Rights, Normativity, and the Good Life","Philosophy, Theory and Critique",Janice Peck,U of Colorado - Boulder
2014,Paper Session,Public Relations for Politics and Governments,Public Relations,Aimei Yang,University of Southern California
2014,Paper Session,Top Competitive Papers in Game Studies,Game Studies,James D. Ivory,Virginia Tech
2014,Paper Session,Gender and Identity Development in a Media-Rich Context,Children Adolescents and Media,,
2014,Paper Session,Top Paper Session on Conference Theme,Theme Sessions,Peng Hwa Ang,Nanyang Technological U
2014,Paper Session,Teenage Health and the Good Life: Health Issues Among Adolescents and Young Adults,Health Communication,Elisia L. Cohen,U of Kentucky
2014,Paper Session,Talking Tobacco: Cognition and Emotional Messages,Health Communication,Erin K. Maloney,University of Pennsylvania
2014,Paper Session,"Climate Change in the News: Regional, National, and International Perspectives",Environmental Communication,Michael Brueggemann,U of Zurich
2014,Paper Session,On Good Terms: Team and Group Interaction in Organizations,Organizational Communication,B Christine Shea,Cal Poly
2014,Paper Session,Mobile Phones and Social Behaviors,Communication and Technology,Ronald A Yaros,U of Maryland
2014,Paper Session,Privacy Paradox of Social Media Use,Communication and Technology,Lorraine G. Kisselburgh,Purdue U
2014,Paper Session,Audience Perceptions of Media Sources and Political Interest,Mass Communication,Lance Holbert,Temple U
2014,Paper Session,Studies on Traits and Behaviors in Intercultural Communication,Intercultural Communication,Chia-Fang (Sandy) Hsu,U of Wyoming
2014,Paper Session,Perception and Effectiveness of Visual Messages,Visual Communication Studies,Jana Holsanova,Lund U
2014,Paper Session,Best Student Papers in Public Relations,Public Relations,Chiara Valentini,Aarhus U
2014,Paper Session,"Understanding the Good Life Through Our Gaming and Identities: Action, Perception, and Relation",Game Studies,Julia Kneer,Erasmus U Rotterdam
2014,Paper Session,Visual Communication Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Paper Session,Health Information-Seeking and Processing Research,Health Communication,Amber Kelly Worthington,Pennsylvania State U
2014,Paper Session,Health Narratives and Messages,Health Communication,Meghan Bridgid Moran,San Diego State University
2014,Paper Session,Journalism and its Future: Perspectives on Change,Journalism Studies,Mike Ananny,U of Southern California
2014,Paper Session,The Perceptions of Journalists and the Perceptions of Audiences,Journalism Studies,Matthew Powers,University of Washington
2014,Paper Session,Psychological Variables Associated With Social Media Use,Communication and Technology,Jih-Hsuan Lin,National Chiao Tung U
2014,Paper Session,Methodological Advances in Analysis of Online Data,Communication and Technology,Heidi Ann Campbell,Texas A and M U
2014,Paper Session,"Parsing Free Speech Around Press, Politics, and the State",Communication Law & Policy,Lindita Camaj,University of Houston
2014,Paper Session,"Change Has Come? Media and Popular Culture Reimaginings, Makeovers, and Transformations",Popular Communication,Nicholas A. John,The Hebrew University of Jerusalem
2014,Paper Session,Audiences and Fans: From Disney Fans to the Nursing Home,Popular Communication,Melissa A. Click,U of Missouri - Columbia
2014,Paper Session,High-Density: New Media,Interpersonal Communication,Christopher John Carpenter,Western Illinois U
2014,Paper Session,Eating and the Good Life: Nutrition and Health Issues,Health Communication,Amber Kelly Worthington,Pennsylvania State U
2014,Paper Session,Communication and Cancer: Psychological Approaches,Health Communication,Evelyn Y. Ho,U of San Francisco
2014,Paper Session,Journalism-State Relations: Views From Four Countries,Journalism Studies,Hillel Nossek,College of Management Academic Studies
2014,Paper Session,Visualizing the News: Trends in Image Use,Journalism Studies,Robert Gutsche Jr,Florida International U
2014,Paper Session,Visual Variables in Communication Technologies: Effects on Perceptions and Behaviors,Communication and Technology,Frank Biocca,Syracuse U
2014,Paper Session,Civic Engagement With Social Media,Communication and Technology,Nicole C. Kramer,U of Duisburg-Essen
2014,Paper Session,Third Person Effects in Mass Communication,Mass Communication,Jonathan Cohen,U of Haifa
2014,Paper Session,"Privacy, Personal Data, and Surveillance: Histories, Tensions, and Dilemmas",Communication Law & Policy,Manuel Puppis,U of Fribourg
2014,Paper Session,Cross-Cultural Media Comparisons,Intercultural Communication,Ling Chen,Hong Kong Baptist U
2014,Paper Session,Public Cultural Politics and Mediated Citizenships,Popular Communication,Limor Shifman,Hebrew U - Jerusalem
2014,Paper Session,Ethnographic Interventions: Linking New Configurations of Media Practice With Theory,"Philosophy, Theory and Critique",Christine Lohmeier,U of Munich
2014,Paper Session,Social Media and Online Public Relations,Public Relations,Kenneth Dean Plowman,Brigham Young U
2014,Paper Session,"Mobile Media, Digital Media, and Youth",Children Adolescents and Media,,
2014,Paper Session,High-Density: 2014 Interpersonal Potpourri,Interpersonal Communication,Kim Brandes,Amsterdam School of Communication Research/ University of Amsterdam
2014,Paper Session,Communication History High-Density Panel,Communication History,Philip Lodge,Edinburgh Napier U
2014,Paper Session,Social Support and Health Issues,Health Communication,Jonathan Matusitz,University of Central Florida
2014,Paper Session,Cultural Issues in Cancer Communication,Health Communication,Xiaoquan Zhao,George Mason U
2014,Paper Session,"New Media, New Practices? Examining Journalistic Conventions",Journalism Studies,Avery E. Holton,U of Utah
2014,Paper Session,Citizens as Collaborators: Extending the Voices of Journalism,Journalism Studies,Mark Anthony Poepsel,Southern Illinois U Edwardsville
2014,Paper Session,Profiles in Social Media,Communication and Technology,Catalina Laura Toma,University of Wisconsin-Madison
2014,Paper Session,Collective Action Mobilization With Social Media,Communication and Technology,Jan A. G. M. Van Dijk,U of Twente
2014,Paper Session,Issues of Credibility in Online News Media,Mass Communication,Miriam Metzger,U of California - Santa Barbara
2014,Paper Session,Affect and Emotion in Mass Media,Mass Communication,Robin Nabi,U of California - Santa Barbara
2014,Paper Session,Risk Models and Communities at Risk: From Climate Change to Asbestos,Environmental Communication,Todd M Norton,Washington State U
2014,Paper Session,"Narratives, Self-Presentation, and Cheating: From Edutainment to Lying in the Classroom",Instructional & Developmental Communication,Marjorie Buckner,University of Kentucky
2014,Paper Session,"Spaces of Contestation: Information, the Press, Advocacy, and Elites","Philosophy, Theory and Critique",Kim Christian Schroder,Roskilde U
2014,Paper Session,"Stakeholders, Corporate Strategies, and CSR",Public Relations,Melissa Dawn Dodd,University of Central Florida
2014,Paper Session,News and Public Opinion,Mass Communication,Dietram A. Scheufele,U of Wisconsin
2014,Paper Session,"Aggression, Bullying, and Fear in a Media-Rich Environment: High-Density Session",Children Adolescents and Media,Erica L. Scharrer,U of Massachusetts - Amherst
2014,Paper Session,Top 4 Papers in Interpersonal Communication,Interpersonal Communication,Timothy R. Levine,Korea University
2014,Paper Session,Social Norms and Health Interventions,Health Communication,Evelyn Y. Ho,U of San Francisco
2014,Paper Session,Risk Communication and Health,Health Communication,Mohan Jyoti Dutta,National U of Singapore
2014,Paper Session,"Discursive and Cultural Constructions of Politics, Public Discourse, and Deliberative Moments",Language & Social Interaction,Karen Tracy,U of Colorado
2014,Paper Session,"Global Communication, Advocacy, and Social Change",Global Communication and Social Change,Janice Barrett,Lasell College
2014,Paper Session,Industry and Public Perception of Video Games: Crafting Tools for A Good Life,Game Studies,Sven Joeckel,U of Erfurt
2014,Paper Session,Top Four Papers in Communication and Technology,Communication and Technology,Nicole Ellison,School of Information
2014,Paper Session,Critiques of Environmental Discourse and Ideology,Environmental Communication,Emily Plec,Western Oregon University
2014,Paper Session,Mass Communication and Health,Mass Communication,Rene Weber,U of California - Santa Barbara
2014,Paper Session,"Rights, Ideology, and Diplomacy: Key Issues for Intercultural Communication",Intercultural Communication,Sorin Nastasia,Southern Illinois U - Carbondale
2014,Paper Session,Best Faculty Papers in Public Relations,Public Relations,Chiara Valentini,Aarhus U
2014,Paper Session,Young People Making Sense of Online Media,Children Adolescents and Media,,
2014,Paper Session,"Popular Communication, Everyday Imaginaries, and Transnationality",Ethnicity and Race in Communication,Miyase Christensen,Stockholm University; Royal Institute of Technology(KTH)
2014,Paper Session,Best of Information Systems,Information Systems,Prabu David,Washington State U
2014,Paper Session,Cultural Issues in Health Communication,Health Communication,Jonathan Matusitz,University of Central Florida
2014,Paper Session,Talking About Cancer: Patient Self-Disclosure and Willingness to Communicate,Health Communication,Tamar Ginossar,U of New Mexico
2014,Paper Session,"Exploring Multiple Modalities in Language and Social Interaction Research: Writing, 'Arabizi', Graffiti, and Sign Language",Language & Social Interaction,Saskia Witteborn,Chinese U of Hong Kong
2014,Paper Session,New Perspectives in Global Communication Research,Global Communication and Social Change,Lisa B. Brooten,Southern Illinois U - Carbondale
2014,Paper Session,The State of Adaptation/Assimilation Research,Intercultural Communication,Marcella LaFever,University of the Fraser Valley
2014,Paper Session,Parents and Media as Agents of Socialization,Children Adolescents and Media,,
2014,Paper Session,"Technologies, Social Media, and New Histories",Communication History,Nicole Maurantonio,U of Richmond
2014,Paper Session,Health Literacy and Message Design,Health Communication,Gary L. Kreps,George Mason U
2014,Paper Session,Video Games and Social Dynamics: A Good and Connected Life,Game Studies,Jaime Banks,University of Toronto
2014,Paper Session,Journalism and its Communities,Journalism Studies,Erik Albaek,U of Southern Denmark
2014,Paper Session,Addiction to Communication Technologies,Communication and Technology,Emmelyn Adriana Justine Croes,Tilburg University
2014,Paper Session,Collective Action Predictors in Social Media Contexts,Communication and Technology,Elmie Nekmat,National University of Singapore
2014,Paper Session,"News, Politics, and Stereotyped Portrayals",Mass Communication,Dana Mastro,UCSB
2014,Paper Session,Interpersonal Issues in Online Media,Mass Communication,Stephanie A Robbins,Ohio University
2014,Paper Session,Rethinking Public Service and Support in Today's Media,Communication Law & Policy,Julian Thomas,Swinburne University of Technology
2014,Paper Session,"Energy Issues: Public Opinion, Attitudes, and Behavior",Environmental Communication,Nayla Fawzi,U of Munich
2014,Paper Session,"Now You See It, Now You Don't: On Codes, Screens, Visibility, and Erasure","Philosophy, Theory and Critique",Sorin Nastasia,Southern Illinois U - Carbondale
2014,Paper Session,Public Voices in Crisis Management,Public Relations,Jeesun Kim,California State University
2014,Paper Session,Measuring Key Concepts and Considering Emotional Well Being in CAM,Children Adolescents and Media,,
2014,Paper Session,The Darker Side of Interpersonal Communication,Interpersonal Communication,Allison Zorzie Shaw,University at Buffalo-SUNY
2014,Paper Session,Let's Talk About Sex: Communicating About Sexual Health,Health Communication,Ashley P. Duggan,Boston College
2014,Paper Session,Communication Issues in Health Campaigns,Health Communication,Andy SL Tan,University of Pennsylvania
2014,Paper Session,Negotiating New Tensions in News Production,Journalism Studies,Juliette De Maeyer,U de Montral
2014,Paper Session,European Media in Transition,Global Communication and Social Change,Ingrid Volkmer,U of Melbourne
2014,Paper Session,Challenging Expectations in Journalism Studies Research,Journalism Studies,Folker Christian Hanusch,Queensland U of Technology
2014,Paper Session,Evaluating Online Information,Communication and Technology,Lara Zwarun,U of Missouri - St. Louis
2014,Paper Session,Twitter Studies,Communication and Technology,Teresa Marie Harrison,SUNY - Albany
2014,Paper Session,"Images, Cultural Identity, and Politics",Visual Communication Studies,Mary Angela Bock,U of Texas - Austin
2014,Paper Session,Managing Communication Across Digital Learning Platforms,Instructional & Developmental Communication,Michelle Epstein Garland,U of Tennessee
2014,Paper Session,Topographies of Rhetoric and Media Theory,"Philosophy, Theory and Critique",Christopher Ali,University of Virginia
2014,Paper Session,"Public Diplomacy, Nation Branding and Public Relations",Public Relations,Elena Alina Dolea,University of Bucharest
2014,Paper Session,Mobile Phones and Consumer Behaviors,Communication and Technology,Trisha T. C. Lin,Nanyang Technological U
2014,Paper Session,What's Going Online? Effectiveness of Digital Learning,Instructional & Developmental Communication,Sarah F. Rosaen,U of Michigan - Flint
2014,Paper Session,Social Media and Health Communication,Health Communication,Emily Brennan,Cancer Council Victoria
2014,Paper Session,"Journalism, Accuracy, and Criticism",Journalism Studies,Michael B. Karlsson,Karlstad U
2014,Paper Session,Reporting Across Borders: Foreign Correspondents and NGOs,Journalism Studies,John C. Pollock,College of New Jersey
2014,Paper Session,As Good as New: Emerging Paradigms/Directions in Organizational Communication,Organizational Communication,R. Tyler Spradley,Stephen F. Austin State U
2014,Paper Session,Emotive Expression Effects in Technology-Mediated Communication,Communication and Technology,K. Hazel Kwon,Arizona State University
2014,Paper Session,Digital Divides,Communication and Technology,Ellen Johanna Helsper,London School of Economics and Political Science
2014,Paper Session,Issues in Advertising,Mass Communication,Jorg Matthes,U of Vienna
2014,Paper Session,Framing and Agenda Setting,Mass Communication,David Tewksbury,U of Illinois - Urbana-Champaign
2014,Paper Session,"Language and Mediated Interactions: Reality and Chat Television, Yiddish Interviews, and Holistic Health",Language & Social Interaction,George B. Ray,Cleveland State U
2014,Paper Session,Creative Industries: From PR to Porn,Popular Communication,Matthew P. McAllister,Pennsylvania State U
2014,Paper Session,Source Perceptions: Using Media to Inform and Persuade,Mass Communication,Lance Holbert,Temple U
2014,Paper Session,Health Issues and Intercultural Communication Research,Intercultural Communication,Jakraphan Riamliw,University of the Thai Chamber of Commerce
2014,Paper Session,Opportunities and Barriers to Learning From Television,Children Adolescents and Media,,
2014,Paper Session,"Race, Class, Myth, and Neoliberal Agendas",Ethnicity and Race in Communication,Kaarina Nikunen,University of Tampere
2015,Paper Session,Preconference: Computational Approaches to Advance Communication Research Poster Session,Sponsored Sessions,,
2015,Paper Session,Corporate Social Responsibility and Sustainability,Organizational Communication,Francois Allard-Huver,Paris Sorbonne University - CELSA
2015,Paper Session,The New Organizational Landscape of Journalism,Journalism Studies,Valerie Belair-Gagnon,Yale Law School
2015,Paper Session,Entertainment Media and Politics,Mass Communication,Lance Holbert,Temple U
2015,Paper Session,Clarifying and Advancing Theory in Mass Communication Research (TOP PAPER ENTRY),Mass Communication,Erica L. Scharrer,U of Massachusetts - Amherst
2015,Paper Session,Online Harassment and Victimization,Children Adolescents and the Media,Teresa Lynch,Indiana University
2015,Paper Session,Environmental Discourses: Rhetoric and Consequences,Environmental Communication,Maryam Ali Alhinai,U of New Mexico
2015,Paper Session,Dating Processes Using Social Media,Communication and Technology,Marjolijn L. Antheunis,Tilburg University
2015,Paper Session,"Dialogue, Communication, and Social Media",Public Relations,Guy J. Golan,Syracuse U
2015,Paper Session,Examining Mediated Sport: Top Papers in the Sports Interest Group,Sports Communication,Scott Reinardy,U of Kansas
2015,Paper Session,"The Visual in Politics: Rhetorics, Frames, Effects",Visual Communication Studies,Giorgia Aiello,U of Leeds
2015,Paper Session,Gaming & Computer Tailored Interventions for Health,Health Communication,Hyang-Sook Kim,Towson University
2015,Paper Session,Digital Dividing? Managing and Measuring Student Media Multitasking,Instructional & Developmental Communication,Aaron R. Boyson,U of Minnesota - Duluth
2015,Paper Session,Online Social Support and Health,Health Communication,Elizabeth L. Spradley,Stephen F. Austin State University
2015,Paper Session,Focusing Theories on Communication Technology #1,Communication and Technology,Petra Theunissen,Auckland University of Technology
2015,Paper Session,Facebook as a Social Comparison Neighborhood,Communication and Technology,Jessica Vitak,University of Maryland
2015,Paper Session,"Relationship, Engagement, and PR Professional Development",Public Relations,Yi Luo,Montclair State University
2015,Paper Session,Entertainment Media and Health Communication,Health Communication,Avery E. Holton,U of Utah
2015,Paper Session,Coordination/Collaboration in and Across Organizations,Organizational Communication,Sun Kyong Lee,U of Oklahoma
2015,Paper Session,Advances in Third Person Effect Research (TOP PAPER ENTRY),Mass Communication,Albert C. Gunther,U of Wisconsin-Madison
2015,Paper Session,Methodological Concerns in Mass Communication Research (TOP PAPER ENTRY),Mass Communication,David R. Ewoldsen,Ohio State U
2015,Paper Session,"From Hook Up to Pregnancy: Sex, Sexuality, and Media",Children Adolescents and the Media,Jessica Ethel Tompkins,Indiana University
2015,Paper Session,Building Brands: Deconstructing Media Institutions' Constructions and Omissions,Popular Communication,Matthew P. McAllister,Pennsylvania State U
2015,Paper Session,Women and Girls Respond to Media: Using and Interpreting Media Texts and Spaces,Feminist Scholarship,HaeLim Suh,Temple U
